width	height	count
18	13	9031
3.6	2.4	4978
12	9	1318
9	6	421
6	6	416
12	10	372
7	6	316
17	12	156
15	10	41
8	7	19
9	13	4
24	18	4
10	8.5	3
9	14	2
8	6	1
