source	target	label
Convair_440_(Swissair)_051932.jpg	1967 in aviation in Switzerland	1967 in aviation in Switzerland
Convair_440_(Swissair)_051932.jpg	Convair 440 at Zurich International Airport	Convair 440 at Zurich International Airport
Convair_440_(Swissair)_051932.jpg	Convair 440 of Swissair	Convair 440 of Swissair
Convair_440_(Swissair)_051932.jpg	Loading (air cargo)	Loading (air cargo)
Convair_440_(Swissair)_051932.jpg	Photographs by Swissair	Photographs by Swissair
Convair_440_(Swissair)_051932.jpg	Swissair aircraft at Zurich International Airport	Swissair aircraft at Zurich International Airport
Eth_bibliothek_rot_transp.png	Library symbols	Library symbols
Eth_bibliothek_rot_transp.png	Logos associated with education	Logos associated with education
Eth_bibliothek_rot_transp.png	PD ineligible	PD ineligible
ETH-BIB--Kehris?-_Kohrudgebirge_aus_3000_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0146-AL-FL.tif	Aerial photographs by Walter Mittelholzer	Aerial photographs by Walter Mittelholzer
ETH-BIB--Kehris?-_Kohrudgebirge_aus_3000_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0146-AL-FL.tif	All media supported by Wikimedia CH	All media supported by Wikimedia CH
ETH-BIB--Kehris?-_Kohrudgebirge_aus_3000_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0146-AL-FL.tif	CC-PD-Mark	CC-PD-Mark
ETH-BIB--Kehris?-_Kohrudgebirge_aus_3000_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0146-AL-FL.tif	ETH-BIB Mittelholzer-Persia flight 1924-1925	ETH-BIB Mittelholzer-Persia flight 1924-1925
ETH-BIB--Kehris?-_Kohrudgebirge_aus_3000_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0146-AL-FL.tif	GWToolset Batch Upload	GWToolset Batch Upload
ETH-BIB--Kehris?-_Kohrudgebirge_aus_3000_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0146-AL-FL.tif	Media contributed by the ETH-Bibliothek	Media contributed by the ETH-Bibliothek
ETH-BIB--Kehris?-_Kohrudgebirge_aus_3000_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0146-AL-FL.tif	Mountains of Iran	Mountains of Iran
ETH-BIB--Kehris?-_Kohrudgebirge_aus_3000_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0146-AL-FL.tif	PD-old-75	PD-old-75
ETH-BIB--Kehris?-_Kohrudgebirge_von_Norden_aus_2600_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0145-AL-FL.tif	Aerial photographs by Walter Mittelholzer	Aerial photographs by Walter Mittelholzer
ETH-BIB--Kehris?-_Kohrudgebirge_von_Norden_aus_2600_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0145-AL-FL.tif	All media supported by Wikimedia CH	All media supported by Wikimedia CH
ETH-BIB--Kehris?-_Kohrudgebirge_von_Norden_aus_2600_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0145-AL-FL.tif	CC-PD-Mark	CC-PD-Mark
ETH-BIB--Kehris?-_Kohrudgebirge_von_Norden_aus_2600_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0145-AL-FL.tif	ETH-BIB Mittelholzer-Persia flight 1924-1925	ETH-BIB Mittelholzer-Persia flight 1924-1925
ETH-BIB--Kehris?-_Kohrudgebirge_von_Norden_aus_2600_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0145-AL-FL.tif	GWToolset Batch Upload	GWToolset Batch Upload
ETH-BIB--Kehris?-_Kohrudgebirge_von_Norden_aus_2600_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0145-AL-FL.tif	Media contributed by the ETH-Bibliothek	Media contributed by the ETH-Bibliothek
ETH-BIB--Kehris?-_Kohrudgebirge_von_Norden_aus_2600_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0145-AL-FL.tif	Mountains of Iran	Mountains of Iran
ETH-BIB--Kehris?-_Kohrudgebirge_von_Norden_aus_2600_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0145-AL-FL.tif	PD-old-75	PD-old-75
ETH-BIB--Mittelmeerflug_1928-.tif	All media needing categories as of 2016	All media needing categories as of 2016
ETH-BIB--Mittelmeerflug_1928-.tif	All media supported by Wikimedia CH	All media supported by Wikimedia CH
ETH-BIB--Mittelmeerflug_1928-.tif	CC-PD-Mark	CC-PD-Mark
ETH-BIB--Mittelmeerflug_1928-.tif	ETH-BIB Mittelholzer-Mediterranean flight 1928	ETH-BIB Mittelholzer-Mediterranean flight 1928
ETH-BIB--Mittelmeerflug_1928-.tif	Files with no machine-readable author	Files with no machine-readable author
ETH-BIB--Mittelmeerflug_1928-.tif	GWToolset Batch Upload	GWToolset Batch Upload
ETH-BIB--Mittelmeerflug_1928-.tif	Media contributed by the ETH-Bibliothek	Media contributed by the ETH-Bibliothek
ETH-BIB--Mittelmeerflug_1928-.tif	Media needing categories as of 23 December 2016	Media needing categories as of 23 December 2016
ETH-BIB--Mittelmeerflug_1928-.tif	PD-old-75	PD-old-75
ETH-BIB--Persienflug_1924-1925-.tif	All media supported by Wikimedia CH	All media supported by Wikimedia CH
ETH-BIB--Persienflug_1924-1925-.tif	Artwork template with implicit creator	Artwork template with implicit creator
ETH-BIB--Persienflug_1924-1925-.tif	Baghdad in the 1920s	Baghdad in the 1920s
ETH-BIB--Persienflug_1924-1925-.tif	CC-PD-Mark	CC-PD-Mark
ETH-BIB--Persienflug_1924-1925-.tif	ETH-BIB Mittelholzer-Persia flight 1924-1925	ETH-BIB Mittelholzer-Persia flight 1924-1925
ETH-BIB--Persienflug_1924-1925-.tif	GWToolset Batch Upload	GWToolset Batch Upload
ETH-BIB--Persienflug_1924-1925-.tif	Media contributed by the ETH-Bibliothek	Media contributed by the ETH-Bibliothek
ETH-BIB--Persienflug_1924-1925-.tif	PD-old-75	PD-old-75
ETH-BIB--Weitere-.tif	Aerial photographs by Walter Mittelholzer	Aerial photographs by Walter Mittelholzer
ETH-BIB--Weitere-.tif	All media supported by Wikimedia CH	All media supported by Wikimedia CH
ETH-BIB--Weitere-.tif	CC-PD-Mark	CC-PD-Mark
ETH-BIB--Weitere-.tif	ETH-BIB Mittelholzer-Various flights abroad	ETH-BIB Mittelholzer-Various flights abroad
ETH-BIB--Weitere-.tif	Files with no machine-readable author	Files with no machine-readable author
ETH-BIB--Weitere-.tif	GWToolset Batch Upload	GWToolset Batch Upload
ETH-BIB--Weitere-.tif	Media contributed by the ETH-Bibliothek	Media contributed by the ETH-Bibliothek
ETH-BIB--Weitere-.tif	PD-old-75	PD-old-75
ETH-BIB-A_20_auf_Flugplatz_von_Buschehr-Persienflug_1924-1925-LBS_MH02-02-0207-AL-FL.tif	All media supported by Wikimedia CH	All media supported by Wikimedia CH
ETH-BIB-A_20_auf_Flugplatz_von_Buschehr-Persienflug_1924-1925-LBS_MH02-02-0207-AL-FL.tif	Bushehr	Bushehr
ETH-BIB-A_20_auf_Flugplatz_von_Buschehr-Persienflug_1924-1925-LBS_MH02-02-0207-AL-FL.tif	CC-PD-Mark	CC-PD-Mark
ETH-BIB-A_20_auf_Flugplatz_von_Buschehr-Persienflug_1924-1925-LBS_MH02-02-0207-AL-FL.tif	ETH-BIB Mittelholzer-Persia flight 1924-1925	ETH-BIB Mittelholzer-Persia flight 1924-1925
ETH-BIB-A_20_auf_Flugplatz_von_Buschehr-Persienflug_1924-1925-LBS_MH02-02-0207-AL-FL.tif	GWToolset Batch Upload	GWToolset Batch Upload
ETH-BIB-A_20_auf_Flugplatz_von_Buschehr-Persienflug_1924-1925-LBS_MH02-02-0207-AL-FL.tif	Junkers A 20	Junkers A 20
ETH-BIB-A_20_auf_Flugplatz_von_Buschehr-Persienflug_1924-1925-LBS_MH02-02-0207-AL-FL.tif	Media contributed by the ETH-Bibliothek	Media contributed by the ETH-Bibliothek
ETH-BIB-A_20_auf_Flugplatz_von_Buschehr-Persienflug_1924-1925-LBS_MH02-02-0207-AL-FL.tif	PD-old-75	PD-old-75
ETH-BIB-A_20_auf_Flugplatz_von_Buschehr-Persienflug_1924-1925-LBS_MH02-02-0208-AL-FL.tif	All media supported by Wikimedia CH	All media supported by Wikimedia CH
ETH-BIB-A_20_auf_Flugplatz_von_Buschehr-Persienflug_1924-1925-LBS_MH02-02-0208-AL-FL.tif	Black and white photographs of groups	Black and white photographs of groups
ETH-BIB-A_20_auf_Flugplatz_von_Buschehr-Persienflug_1924-1925-LBS_MH02-02-0208-AL-FL.tif	CC-PD-Mark	CC-PD-Mark
ETH-BIB-A_20_auf_Flugplatz_von_Buschehr-Persienflug_1924-1925-LBS_MH02-02-0208-AL-FL.tif	ETH-BIB Mittelholzer-Persia flight 1924-1925	ETH-BIB Mittelholzer-Persia flight 1924-1925
ETH-BIB-A_20_auf_Flugplatz_von_Buschehr-Persienflug_1924-1925-LBS_MH02-02-0208-AL-FL.tif	GWToolset Batch Upload	GWToolset Batch Upload
ETH-BIB-A_20_auf_Flugplatz_von_Buschehr-Persienflug_1924-1925-LBS_MH02-02-0208-AL-FL.tif	Media contributed by the ETH-Bibliothek	Media contributed by the ETH-Bibliothek
ETH-BIB-A_20_auf_Flugplatz_von_Buschehr-Persienflug_1924-1925-LBS_MH02-02-0208-AL-FL.tif	PD-old-75	PD-old-75
ETH-BIB-Aadorf_v._S._O._aus_300_m-Inlandflüge-LBS_MH01-002608.tif	Aadorf	Aadorf
ETH-BIB-Aadorf_v._S._O._aus_300_m-Inlandflüge-LBS_MH01-002608.tif	All media supported by Wikimedia CH	All media supported by Wikimedia CH
ETH-BIB-Aadorf_v._S._O._aus_300_m-Inlandflüge-LBS_MH01-002608.tif	CC-PD-Mark	CC-PD-Mark
ETH-BIB-Aadorf_v._S._O._aus_300_m-Inlandflüge-LBS_MH01-002608.tif	ETH-BIB Mittelholzer-Inland flights	ETH-BIB Mittelholzer-Inland flights
ETH-BIB-Aadorf_v._S._O._aus_300_m-Inlandflüge-LBS_MH01-002608.tif	GWToolset Batch Upload	GWToolset Batch Upload
ETH-BIB-Aadorf_v._S._O._aus_300_m-Inlandflüge-LBS_MH01-002608.tif	Media contributed by the ETH-Bibliothek	Media contributed by the ETH-Bibliothek
ETH-BIB-Aadorf_v._S._O._aus_300_m-Inlandflüge-LBS_MH01-002608.tif	PD-old-75	PD-old-75
ETH-BIB-Aarau,_Altstadt_aus_200_m-Inlandflüge-LBS_MH01-002220.tif	Aarau	Aarau
ETH-BIB-Aarau,_Altstadt_aus_200_m-Inlandflüge-LBS_MH01-002220.tif	All media supported by Wikimedia CH	All media supported by Wikimedia CH
ETH-BIB-Aarau,_Altstadt_aus_200_m-Inlandflüge-LBS_MH01-002220.tif	CC-PD-Mark	CC-PD-Mark
ETH-BIB-Aarau,_Altstadt_aus_200_m-Inlandflüge-LBS_MH01-002220.tif	ETH-BIB Mittelholzer-Inland flights	ETH-BIB Mittelholzer-Inland flights
ETH-BIB-Aarau,_Altstadt_aus_200_m-Inlandflüge-LBS_MH01-002220.tif	GWToolset Batch Upload	GWToolset Batch Upload
ETH-BIB-Aarau,_Altstadt_aus_200_m-Inlandflüge-LBS_MH01-002220.tif	Media contributed by the ETH-Bibliothek	Media contributed by the ETH-Bibliothek
ETH-BIB-Aarau,_Altstadt_aus_200_m-Inlandflüge-LBS_MH01-002220.tif	PD-old-75	PD-old-75
ETH-BIB-Aarau,_Bahnhof_aus_100_m-Inlandflüge-LBS_MH01-002194.tif	All media needing categories as of 2017	All media needing categories as of 2017
ETH-BIB-Aarau,_Bahnhof_aus_100_m-Inlandflüge-LBS_MH01-002194.tif	All media supported by Wikimedia CH	All media supported by Wikimedia CH
ETH-BIB-Aarau,_Bahnhof_aus_100_m-Inlandflüge-LBS_MH01-002194.tif	CC-PD-Mark	CC-PD-Mark
ETH-BIB-Aarau,_Bahnhof_aus_100_m-Inlandflüge-LBS_MH01-002194.tif	ETH-BIB Mittelholzer-Inland flights	ETH-BIB Mittelholzer-Inland flights
ETH-BIB-Aarau,_Bahnhof_aus_100_m-Inlandflüge-LBS_MH01-002194.tif	GWToolset Batch Upload	GWToolset Batch Upload
ETH-BIB-Aarau,_Bahnhof_aus_100_m-Inlandflüge-LBS_MH01-002194.tif	Media contributed by the ETH-Bibliothek	Media contributed by the ETH-Bibliothek
ETH-BIB-Aarau,_Bahnhof_aus_100_m-Inlandflüge-LBS_MH01-002194.tif	Media needing categories as of 25 February 2017	Media needing categories as of 25 February 2017
ETH-BIB-Aarau,_Bahnhof_aus_100_m-Inlandflüge-LBS_MH01-002194.tif	Media needing categories where timestamp category does not exist	Media needing categories where timestamp category does not exist
ETH-BIB-Aarau,_Bahnhof_aus_100_m-Inlandflüge-LBS_MH01-002194.tif	PD-old-75	PD-old-75
ETH-BIB-Aarau,_Bahnhof_aus_150_m-Inlandflüge-LBS_MH01-002193.tif	All media needing categories as of 2017	All media needing categories as of 2017
ETH-BIB-Aarau,_Bahnhof_aus_150_m-Inlandflüge-LBS_MH01-002193.tif	All media supported by Wikimedia CH	All media supported by Wikimedia CH
ETH-BIB-Aarau,_Bahnhof_aus_150_m-Inlandflüge-LBS_MH01-002193.tif	CC-PD-Mark	CC-PD-Mark
ETH-BIB-Aarau,_Bahnhof_aus_150_m-Inlandflüge-LBS_MH01-002193.tif	ETH-BIB Mittelholzer-Inland flights	ETH-BIB Mittelholzer-Inland flights
ETH-BIB-Aarau,_Bahnhof_aus_150_m-Inlandflüge-LBS_MH01-002193.tif	GWToolset Batch Upload	GWToolset Batch Upload
ETH-BIB-Aarau,_Bahnhof_aus_150_m-Inlandflüge-LBS_MH01-002193.tif	Media contributed by the ETH-Bibliothek	Media contributed by the ETH-Bibliothek
ETH-BIB-Aarau,_Bahnhof_aus_150_m-Inlandflüge-LBS_MH01-002193.tif	Media needing categories as of 25 February 2017	Media needing categories as of 25 February 2017
ETH-BIB-Aarau,_Bahnhof_aus_150_m-Inlandflüge-LBS_MH01-002193.tif	Media needing categories where timestamp category does not exist	Media needing categories where timestamp category does not exist
ETH-BIB-Aarau,_Bahnhof_aus_150_m-Inlandflüge-LBS_MH01-002193.tif	PD-old-75	PD-old-75
ETH-BIB-Aarau,_Übersicht,_Hungerberg,_Schachen_v._S._W._aus_600_m-Inlandflüge-LBS_MH01-002657.tif	All media needing categories as of 2017	All media needing categories as of 2017
ETH-BIB-Aarau,_Übersicht,_Hungerberg,_Schachen_v._S._W._aus_600_m-Inlandflüge-LBS_MH01-002657.tif	All media supported by Wikimedia CH	All media supported by Wikimedia CH
ETH-BIB-Aarau,_Übersicht,_Hungerberg,_Schachen_v._S._W._aus_600_m-Inlandflüge-LBS_MH01-002657.tif	CC-PD-Mark	CC-PD-Mark
ETH-BIB-Aarau,_Übersicht,_Hungerberg,_Schachen_v._S._W._aus_600_m-Inlandflüge-LBS_MH01-002657.tif	ETH-BIB Mittelholzer-Inland flights	ETH-BIB Mittelholzer-Inland flights
ETH-BIB-Aarau,_Übersicht,_Hungerberg,_Schachen_v._S._W._aus_600_m-Inlandflüge-LBS_MH01-002657.tif	GWToolset Batch Upload	GWToolset Batch Upload
ETH-BIB-Aarau,_Übersicht,_Hungerberg,_Schachen_v._S._W._aus_600_m-Inlandflüge-LBS_MH01-002657.tif	Media contributed by the ETH-Bibliothek	Media contributed by the ETH-Bibliothek
ETH-BIB-Aarau,_Übersicht,_Hungerberg,_Schachen_v._S._W._aus_600_m-Inlandflüge-LBS_MH01-002657.tif	Media needing categories as of 25 February 2017	Media needing categories as of 25 February 2017
ETH-BIB-Aarau,_Übersicht,_Hungerberg,_Schachen_v._S._W._aus_600_m-Inlandflüge-LBS_MH01-002657.tif	Media needing categories where timestamp category does not exist	Media needing categories where timestamp category does not exist
ETH-BIB-Aarau,_Übersicht,_Hungerberg,_Schachen_v._S._W._aus_600_m-Inlandflüge-LBS_MH01-002657.tif	PD-old-75	PD-old-75
ETH-BIB-Aarau,_Übersicht,_Schachen_v._S._W._aus_700_m-Inlandflüge-LBS_MH01-002658.tif	All media needing categories as of 2017	All media needing categories as of 2017
ETH-BIB-Aarau,_Übersicht,_Schachen_v._S._W._aus_700_m-Inlandflüge-LBS_MH01-002658.tif	All media supported by Wikimedia CH	All media supported by Wikimedia CH
ETH-BIB-Aarau,_Übersicht,_Schachen_v._S._W._aus_700_m-Inlandflüge-LBS_MH01-002658.tif	CC-PD-Mark	CC-PD-Mark
ETH-BIB-Aarau,_Übersicht,_Schachen_v._S._W._aus_700_m-Inlandflüge-LBS_MH01-002658.tif	ETH-BIB Mittelholzer-Inland flights	ETH-BIB Mittelholzer-Inland flights
ETH-BIB-Aarau,_Übersicht,_Schachen_v._S._W._aus_700_m-Inlandflüge-LBS_MH01-002658.tif	GWToolset Batch Upload	GWToolset Batch Upload
ETH-BIB-Aarau,_Übersicht,_Schachen_v._S._W._aus_700_m-Inlandflüge-LBS_MH01-002658.tif	Media contributed by the ETH-Bibliothek	Media contributed by the ETH-Bibliothek
ETH-BIB-Aarau,_Übersicht,_Schachen_v._S._W._aus_700_m-Inlandflüge-LBS_MH01-002658.tif	Media needing categories as of 25 February 2017	Media needing categories as of 25 February 2017
ETH-BIB-Aarau,_Übersicht,_Schachen_v._S._W._aus_700_m-Inlandflüge-LBS_MH01-002658.tif	Media needing categories where timestamp category does not exist	Media needing categories where timestamp category does not exist
ETH-BIB-Aarau,_Übersicht,_Schachen_v._S._W._aus_700_m-Inlandflüge-LBS_MH01-002658.tif	PD-old-75	PD-old-75
ETH-BIB-Aarberg_v._W._aus_200_m-Inlandflüge-LBS_MH01-002184.tif	All media needing categories as of 2017	All media needing categories as of 2017
ETH-BIB-Aarberg_v._W._aus_200_m-Inlandflüge-LBS_MH01-002184.tif	All media supported by Wikimedia CH	All media supported by Wikimedia CH
ETH-BIB-Aarberg_v._W._aus_200_m-Inlandflüge-LBS_MH01-002184.tif	CC-PD-Mark	CC-PD-Mark
ETH-BIB-Aarberg_v._W._aus_200_m-Inlandflüge-LBS_MH01-002184.tif	ETH-BIB Mittelholzer-Inland flights	ETH-BIB Mittelholzer-Inland flights
ETH-BIB-Aarberg_v._W._aus_200_m-Inlandflüge-LBS_MH01-002184.tif	GWToolset Batch Upload	GWToolset Batch Upload
ETH-BIB-Aarberg_v._W._aus_200_m-Inlandflüge-LBS_MH01-002184.tif	Media contributed by the ETH-Bibliothek	Media contributed by the ETH-Bibliothek
ETH-BIB-Aarberg_v._W._aus_200_m-Inlandflüge-LBS_MH01-002184.tif	Media needing categories as of 25 February 2017	Media needing categories as of 25 February 2017
ETH-BIB-Aarberg_v._W._aus_200_m-Inlandflüge-LBS_MH01-002184.tif	Media needing categories where timestamp category does not exist	Media needing categories where timestamp category does not exist
ETH-BIB-Aarberg_v._W._aus_200_m-Inlandflüge-LBS_MH01-002184.tif	PD-old-75	PD-old-75
ETH-BIB-Aarberg-Inlandflüge-LBS_MH01-002185.tif	All media needing categories as of 2017	All media needing categories as of 2017
ETH-BIB-Aarberg-Inlandflüge-LBS_MH01-002185.tif	All media supported by Wikimedia CH	All media supported by Wikimedia CH
ETH-BIB-Aarberg-Inlandflüge-LBS_MH01-002185.tif	CC-PD-Mark	CC-PD-Mark
ETH-BIB-Aarberg-Inlandflüge-LBS_MH01-002185.tif	ETH-BIB Mittelholzer-Inland flights	ETH-BIB Mittelholzer-Inland flights
ETH-BIB-Aarberg-Inlandflüge-LBS_MH01-002185.tif	GWToolset Batch Upload	GWToolset Batch Upload
ETH-BIB-Aarberg-Inlandflüge-LBS_MH01-002185.tif	Media contributed by the ETH-Bibliothek	Media contributed by the ETH-Bibliothek
ETH-BIB-Aarberg-Inlandflüge-LBS_MH01-002185.tif	Media needing categories as of 25 February 2017	Media needing categories as of 25 February 2017
ETH-BIB-Aarberg-Inlandflüge-LBS_MH01-002185.tif	Media needing categories where timestamp category does not exist	Media needing categories where timestamp category does not exist
ETH-BIB-Aarberg-Inlandflüge-LBS_MH01-002185.tif	PD-old-75	PD-old-75
ETH-BIB-Aarburg_mit_Born,_Rothrist,_Oftringen_aus_3000_m-Inlandflüge-LBS_MH01-002714.tif	Aarburg	Aarburg
ETH-BIB-Aarburg_mit_Born,_Rothrist,_Oftringen_aus_3000_m-Inlandflüge-LBS_MH01-002714.tif	All media supported by Wikimedia CH	All media supported by Wikimedia CH
ETH-BIB-Aarburg_mit_Born,_Rothrist,_Oftringen_aus_3000_m-Inlandflüge-LBS_MH01-002714.tif	CC-PD-Mark	CC-PD-Mark
ETH-BIB-Aarburg_mit_Born,_Rothrist,_Oftringen_aus_3000_m-Inlandflüge-LBS_MH01-002714.tif	ETH-BIB Mittelholzer-Inland flights	ETH-BIB Mittelholzer-Inland flights
ETH-BIB-Aarburg_mit_Born,_Rothrist,_Oftringen_aus_3000_m-Inlandflüge-LBS_MH01-002714.tif	GWToolset Batch Upload	GWToolset Batch Upload
ETH-BIB-Aarburg_mit_Born,_Rothrist,_Oftringen_aus_3000_m-Inlandflüge-LBS_MH01-002714.tif	Media contributed by the ETH-Bibliothek	Media contributed by the ETH-Bibliothek
ETH-BIB-Aarburg_mit_Born,_Rothrist,_Oftringen_aus_3000_m-Inlandflüge-LBS_MH01-002714.tif	PD-old-75	PD-old-75
ETH-BIB-Abadeh_aus_3000_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0170-AL-FL.tif	Aerial photographs by Walter Mittelholzer	Aerial photographs by Walter Mittelholzer
ETH-BIB-Abadeh_aus_3000_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0170-AL-FL.tif	All media supported by Wikimedia CH	All media supported by Wikimedia CH
ETH-BIB-Abadeh_aus_3000_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0170-AL-FL.tif	CC-PD-Mark	CC-PD-Mark
ETH-BIB-Abadeh_aus_3000_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0170-AL-FL.tif	ETH-BIB Mittelholzer-Persia flight 1924-1925	ETH-BIB Mittelholzer-Persia flight 1924-1925
ETH-BIB-Abadeh_aus_3000_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0170-AL-FL.tif	GWToolset Batch Upload	GWToolset Batch Upload
ETH-BIB-Abadeh_aus_3000_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0170-AL-FL.tif	Media contributed by the ETH-Bibliothek	Media contributed by the ETH-Bibliothek
ETH-BIB-Abadeh_aus_3000_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0170-AL-FL.tif	PD-old-75	PD-old-75
ETH-BIB-Abessinienflug,_Luftaufnahme-Abessinienflug_1934-LBS_MH02-22-0004.tif	Aerial photographs by Walter Mittelholzer	Aerial photographs by Walter Mittelholzer
ETH-BIB-Abessinienflug,_Luftaufnahme-Abessinienflug_1934-LBS_MH02-22-0004.tif	All media supported by Wikimedia CH	All media supported by Wikimedia CH
ETH-BIB-Abessinienflug,_Luftaufnahme-Abessinienflug_1934-LBS_MH02-22-0004.tif	CC-PD-Mark	CC-PD-Mark
ETH-BIB-Abessinienflug,_Luftaufnahme-Abessinienflug_1934-LBS_MH02-22-0004.tif	ETH-BIB Mittelholzer-Abyssinia flight 1934	ETH-BIB Mittelholzer-Abyssinia flight 1934
ETH-BIB-Abessinienflug,_Luftaufnahme-Abessinienflug_1934-LBS_MH02-22-0004.tif	GWToolset Batch Upload	GWToolset Batch Upload
ETH-BIB-Abessinienflug,_Luftaufnahme-Abessinienflug_1934-LBS_MH02-22-0004.tif	Media contributed by the ETH-Bibliothek	Media contributed by the ETH-Bibliothek
ETH-BIB-Abessinienflug,_Luftaufnahme-Abessinienflug_1934-LBS_MH02-22-0004.tif	PD-old-75	PD-old-75
ETH-BIB-Abessinienflug,_Luftaufnahme-Abessinienflug_1934-LBS_MH02-22-0006.tif	Aerial photographs by Walter Mittelholzer	Aerial photographs by Walter Mittelholzer
ETH-BIB-Abessinienflug,_Luftaufnahme-Abessinienflug_1934-LBS_MH02-22-0006.tif	All media supported by Wikimedia CH	All media supported by Wikimedia CH
ETH-BIB-Abessinienflug,_Luftaufnahme-Abessinienflug_1934-LBS_MH02-22-0006.tif	CC-PD-Mark	CC-PD-Mark
ETH-BIB-Abessinienflug,_Luftaufnahme-Abessinienflug_1934-LBS_MH02-22-0006.tif	ETH-BIB Mittelholzer-Abyssinia flight 1934	ETH-BIB Mittelholzer-Abyssinia flight 1934
ETH-BIB-Abessinienflug,_Luftaufnahme-Abessinienflug_1934-LBS_MH02-22-0006.tif	GWToolset Batch Upload	GWToolset Batch Upload
ETH-BIB-Abessinienflug,_Luftaufnahme-Abessinienflug_1934-LBS_MH02-22-0006.tif	Media contributed by the ETH-Bibliothek	Media contributed by the ETH-Bibliothek
ETH-BIB-Abessinienflug,_Luftaufnahme-Abessinienflug_1934-LBS_MH02-22-0006.tif	PD-old-75	PD-old-75
ETH-BIB-Abessinienflug,_Luftaufnahme-Abessinienflug_1934-LBS_MH02-22-0007.tif	Aerial photographs by Walter Mittelholzer	Aerial photographs by Walter Mittelholzer
ETH-BIB-Abessinienflug,_Luftaufnahme-Abessinienflug_1934-LBS_MH02-22-0007.tif	All media supported by Wikimedia CH	All media supported by Wikimedia CH
ETH-BIB-Abessinienflug,_Luftaufnahme-Abessinienflug_1934-LBS_MH02-22-0007.tif	CC-PD-Mark	CC-PD-Mark
ETH-BIB-Abessinienflug,_Luftaufnahme-Abessinienflug_1934-LBS_MH02-22-0007.tif	ETH-BIB Mittelholzer-Abyssinia flight 1934	ETH-BIB Mittelholzer-Abyssinia flight 1934
ETH-BIB-Abessinienflug,_Luftaufnahme-Abessinienflug_1934-LBS_MH02-22-0007.tif	GWToolset Batch Upload	GWToolset Batch Upload
ETH-BIB-Abessinienflug,_Luftaufnahme-Abessinienflug_1934-LBS_MH02-22-0007.tif	Media contributed by the ETH-Bibliothek	Media contributed by the ETH-Bibliothek
ETH-BIB-Abessinienflug,_Luftaufnahme-Abessinienflug_1934-LBS_MH02-22-0007.tif	PD-old-75	PD-old-75
ETH-BIB-Abfall_der_Qasviner_Hochebene_beim_Manjil-Pass_zum_Kaspischen_Meer_aus_4000_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0116-AL-FL.tif	Aerial photographs by Walter Mittelholzer	Aerial photographs by Walter Mittelholzer
ETH-BIB-Abfall_der_Qasviner_Hochebene_beim_Manjil-Pass_zum_Kaspischen_Meer_aus_4000_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0116-AL-FL.tif	All media supported by Wikimedia CH	All media supported by Wikimedia CH
ETH-BIB-Abfall_der_Qasviner_Hochebene_beim_Manjil-Pass_zum_Kaspischen_Meer_aus_4000_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0116-AL-FL.tif	CC-PD-Mark	CC-PD-Mark
ETH-BIB-Abfall_der_Qasviner_Hochebene_beim_Manjil-Pass_zum_Kaspischen_Meer_aus_4000_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0116-AL-FL.tif	ETH-BIB Mittelholzer-Persia flight 1924-1925	ETH-BIB Mittelholzer-Persia flight 1924-1925
ETH-BIB-Abfall_der_Qasviner_Hochebene_beim_Manjil-Pass_zum_Kaspischen_Meer_aus_4000_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0116-AL-FL.tif	GWToolset Batch Upload	GWToolset Batch Upload
ETH-BIB-Abfall_der_Qasviner_Hochebene_beim_Manjil-Pass_zum_Kaspischen_Meer_aus_4000_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0116-AL-FL.tif	Media contributed by the ETH-Bibliothek	Media contributed by the ETH-Bibliothek
ETH-BIB-Abfall_der_Qasviner_Hochebene_beim_Manjil-Pass_zum_Kaspischen_Meer_aus_4000_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0116-AL-FL.tif	PD-old-75	PD-old-75
