id_file	file	page	page_typo	page_typo	date	pv
44929	File:ETH-BIB-Wolfer, Alfred (1854-1931), Ingenieur - Schule, Eidgenössisches Polytechnikum Zürich, 1899-1903-Portrait-Portr 02360-029-AL.tif (cropped).jpg	Alfred Wolfer	de	article	2018-06-01	0
21119	File:ETH-BIB-Küste, England, Kreidefelsen, Dover-Inlandflüge-LBS MH01-007494.tif	White Cliffs of Dover	en	article	2016-04-01	9
21119	File:ETH-BIB-Küste, England, Kreidefelsen, Dover-Inlandflüge-LBS MH01-007494.tif	White Cliffs of Dover	en	article	2016-05-01	14
21119	File:ETH-BIB-Küste, England, Kreidefelsen, Dover-Inlandflüge-LBS MH01-007494.tif	White Cliffs of Dover	en	article	2016-06-01	9
21119	File:ETH-BIB-Küste, England, Kreidefelsen, Dover-Inlandflüge-LBS MH01-007494.tif	White Cliffs of Dover	en	article	2016-07-01	9
21119	File:ETH-BIB-Küste, England, Kreidefelsen, Dover-Inlandflüge-LBS MH01-007494.tif	White Cliffs of Dover	en	article	2016-08-01	4
21119	File:ETH-BIB-Küste, England, Kreidefelsen, Dover-Inlandflüge-LBS MH01-007494.tif	White Cliffs of Dover	en	article	2016-09-01	2
21119	File:ETH-BIB-Küste, England, Kreidefelsen, Dover-Inlandflüge-LBS MH01-007494.tif	White Cliffs of Dover	en	article	2016-10-01	5
21119	File:ETH-BIB-Küste, England, Kreidefelsen, Dover-Inlandflüge-LBS MH01-007494.tif	White Cliffs of Dover	en	article	2016-11-01	3
21119	File:ETH-BIB-Küste, England, Kreidefelsen, Dover-Inlandflüge-LBS MH01-007494.tif	White Cliffs of Dover	en	article	2016-12-01	6
21119	File:ETH-BIB-Küste, England, Kreidefelsen, Dover-Inlandflüge-LBS MH01-007494.tif	White Cliffs of Dover	en	article	2017-01-01	8
21119	File:ETH-BIB-Küste, England, Kreidefelsen, Dover-Inlandflüge-LBS MH01-007494.tif	White Cliffs of Dover	en	article	2017-02-01	6
21119	File:ETH-BIB-Küste, England, Kreidefelsen, Dover-Inlandflüge-LBS MH01-007494.tif	White Cliffs of Dover	en	article	2017-03-01	5
21119	File:ETH-BIB-Küste, England, Kreidefelsen, Dover-Inlandflüge-LBS MH01-007494.tif	White Cliffs of Dover	en	article	2017-04-01	4
21119	File:ETH-BIB-Küste, England, Kreidefelsen, Dover-Inlandflüge-LBS MH01-007494.tif	White Cliffs of Dover	en	article	2017-05-01	10
21119	File:ETH-BIB-Küste, England, Kreidefelsen, Dover-Inlandflüge-LBS MH01-007494.tif	White Cliffs of Dover	en	article	2017-06-01	6
21119	File:ETH-BIB-Küste, England, Kreidefelsen, Dover-Inlandflüge-LBS MH01-007494.tif	White Cliffs of Dover	en	article	2017-07-01	6
21119	File:ETH-BIB-Küste, England, Kreidefelsen, Dover-Inlandflüge-LBS MH01-007494.tif	White Cliffs of Dover	en	article	2017-08-01	0
