File:Aettenschwil 1953.jpg	jpg	2017-06-07T18:55:16Z	CC BY-SA 4.0	BITMAP
File:AJZ Zürich ETH Bildarchiv Com L30-0048-0825.tif	tif	2018-01-09T19:14:40Z	CC BY-SA 4.0	BITMAP
File:BassersdorffJVogt-19890513i.jpg	jpg	2018-01-20T16:55:56Z	CC BY-SA 4.0	BITMAP
File:BassersdorffJVogt-19890513i.tif	tif	2018-01-20T16:54:40Z	CC BY-SA 4.0	BITMAP
File:BassersdorffSchatz-19801028iv.jpg	jpg	2018-01-20T01:29:26Z	CC BY-SA 4.0	BITMAP
File:BassersdorffSchatz-19810519i.jpg	jpg	2018-01-20T01:46:18Z	CC BY-SA 4.0	BITMAP
File:BassersdorffSchatz-19810519i.tif	tif	2018-01-20T01:44:57Z	CC BY-SA 4.0	BITMAP
File:BassersdorffSchatz-19810519ii.jpg	jpg	2018-01-20T14:22:15Z	CC BY-SA 4.0	BITMAP
File:BassersdorffSchatz-19810519ii.tif	tif	2018-01-20T14:20:48Z	CC BY-SA 4.0	BITMAP
File:BassersdorffSwissair-19610618i.jpg	jpg	2018-01-08T18:13:37Z	CC BY-SA 4.0	BITMAP
File:BassersdorffSwissair-19610618i.tif	tif	2018-01-08T18:09:34Z	CC BY-SA 4.0	BITMAP
File:BassersdorffSwissair-19650804i.jpg	jpg	2018-01-08T23:04:27Z	CC BY-SA 4.0	BITMAP
File:BassersdorffSwissair-19650804i.tif	tif	2018-01-08T23:07:47Z	CC BY-SA 4.0	BITMAP
File:BassersdorffSwissair-19700713i.jpg	jpg	2018-01-09T14:16:02Z	CC BY-SA 4.0	BITMAP
File:BassersdorffSwissair-19700713i.tif	tif	2018-01-09T14:09:00Z	CC BY-SA 4.0	BITMAP
File:BassersdorffSwissair-19700713ii.jpg	jpg	2018-01-09T15:03:57Z	CC BY-SA 4.0	BITMAP
File:BassersdorffSwissair-19700713ii.tif	tif	2018-01-09T14:58:05Z	CC BY-SA 4.0	BITMAP
File:BassersdorffSwissair-19730615i.jpg	jpg	2018-01-09T15:42:13Z	CC BY-SA 4.0	BITMAP
File:BassersdorffSwissair-19730615i.tif	tif	2018-01-09T15:39:45Z	CC BY-SA 4.0	BITMAP
File:BassersdorffSwissair-19770911i.jpg	jpg	2018-01-09T17:16:51Z	CC BY-SA 4.0	BITMAP
