Category:200 Schweizer Bilder
Category:CH-NB-200 Schweizer Bücher
Category:CH-NB-Album Mit schweizerischen und ausländischen Ansichten
Category:CH-NB-Album der Ur-Schweiz
Category:CH-NB-Album vom Vierwaldstättersee
Category:CH-NB-25 Ansichten aus dem Alpstein
Category:CH-NB-Erinnerung an den Kanton Appenzell
Category:CH-NB Souvenir de l'hotel & bains du Boeuf
Category:CH-NB Souvenirs de Baden en Suisse
Category:CH-NB-Baden
Category:CH-NB Baden im Aargau und seine Umgebung
Category:CH-NB Basel
Category:CH-NB-Basel (2)
Category:CH-NB-Neujahrsgruss aus Basel
Category:CH-NB-Neujahrsgruss aus Basel (2)
Category:CH-NB-Places publiques & édifices remarquables de la ville de Basle
Category:CH-NB-Max van Berchem
Category:CH-NB Bern mit seinen merkwürdigsten Gebäuden
Category:CH-NB L'Oberland bernois
Category:CH-NB Souvenirs de Berne
Category:CH-NB Souvenir de Berne
Category:CH-NB Album vom Berner Oberland
Category:CH-NB-Berner Oberland
Category:CH-NB-Berner Oberland (1)
Category:CH-NB-Berner Oberland(2)
Category:CH-NB-Souvenir de l'Oberland bernois
Category:CH-NB-Souvenir de l'Oberland bernois (3)
Category:CH-NB-Souvenir de l'Oberland bernois (nbdig-18205)
Category:CH-NB-Souvenir de l'Oberland bernois (2)
Category:CH-NB-Berner Oberland (3)
Category:CH-NB-Biel
Category:CH-NB Bienne et environs
Category:CH-NB-Bodensee und Rhein
Category:CH-NB Frölichsegg
Category:CH-NB-Gotthard
Category:CH-NB-Souvenir des cantons de Grisons et Tessin
Category:CH-NB-Collection Gugelmann
Category:CH-NB-Guida da Milano a Ginevra pel Sempione con 40 vedute ed una carta geografica
Category:CH-NB Souvenir des bains du Gurnigel
Category:CH-NB-Kartenspiel mit Schweizer Ansichten
Category:CH-NB-Souvenir Lac de Genève
Category:CH-NB-Lac Léman
Category:CH-NB-Souvenir Lac Léman, Lausanne
Category:CH-NB-Le lac de Genève
Category:CH-NB-Luzern, Pilatus, Brünig-Route
Category:CH-NB-Environs du Léman
Category:CH-NB-Voyage autour du Mont-Blanc, dans les vallées d'Hérens, de Zermatt et au Grimsel 1843
Category:CH-NB-Panorama du Lac Léman et de ses environs
Category:CH-NB Photoglob-Wehrli
Category:CH-NB-Souvenir du Righi
Category:CH-NB-Sammlung von Ansichten aus dem ehemaligen Gebiet des Standes Bern
Category:CH-NB-Schweiz
Category:CH-NB-Schweizer-Album
Category:CH-NB-Schweizergegenden
Category:CH-NB-Souvenir de la suisse
Category:CH-NB-Souvenir du lac de Genève et ses environs
Category:CH-NB-Souvenir photographiques de la suisse
Category:CH-NB-Souvenirs de la Suisse
Category:CH-NB photographs by Eduard Spelterini
Category:CH-NB-Souvenir du St. Bernard et Simplon
Category:CH-NB-Souvenir de la Suisse allemande
Category:CH-NB Swiss Open Cultural Data Hackathon 2015
Category:CH-NB Swiss National Library
Category:CH-NB Entre Thoune et Brienz
Category:CH-NB In der Umgebung von Thun und Brienz
Category:CH-NB-Vevey - Lausanne - Genève
Category:CH-NB-Souvenir du lac des IV. cantons
Category:CH-NB-Souvenir Lac des 4 cantons
Category:CH-NB Eva Wannenmacher
Category:CH-NB Plan der Bahnhoferweiterung Winterthur 1894-1895
Category:CH-NB WIR und Doffey
Category:CH-NB Zürich Hauptbahnhof Wannerpläne
File:. CH-NB-Baden-nbdig-18038-page013.tif
File:CH-NB-Berner Oberland-nbdig-18512-page001.tiff
File:CH-NB-Berner Oberland-nbdig-18512-page002.tiff
File:CH-NB-Berner Oberland-nbdig-18512-page003.tiff
File:CH-NB-Berner Oberland-nbdig-18512-page004.tiff
File:CH-NB-Berner Oberland-nbdig-18512-page005.tiff
File:CH-NB-Berner Oberland-nbdig-18512-page006.tiff
File:CH-NB-Berner Oberland-nbdig-18512-page008.tiff
File:CH-NB-Berner Oberland-nbdig-18512-page009.tiff
File:CH-NB-Berner Oberland-nbdig-18512-page010.tiff
File:CH-NB-Berner Oberland-nbdig-18512-page011.tiff
File:CH-NB-Berner Oberland-nbdig-18512-page012.tiff
File:CH-NB-Berner Oberland-nbdig-18512-page013.tiff
File:CH-NB-Berner Oberland-nbdig-18512-page014.tiff
File:CH-NB-Berner Oberland-nbdig-18512-page015.tiff
File:CH-NB-Berner Oberland-nbdig-18512-page016.tiff
File:CH-NB-Berner Oberland-nbdig-18512-page017.tiff
File:CH-NB-Berner Oberland-nbdig-18512-page018.tiff
File:CH-NB-Berner Oberland-nbdig-18512-page019.tiff
File:CH-NB-Berner Oberland-nbdig-18512-page020.tiff
File:CH-NB-Berner Oberland-nbdig-18512-page021.tiff
File:CH-NB-Berner Oberland-nbdig-18512-page022.tiff
File:CH-NB-Berner Oberland-nbdig-18512-page023.tiff
File:CH-NB-Berner Oberland-nbdig-18512-page024.tiff
File:CH-NB-Berner Oberland-nbdig-18512-page025.tiff
File:CH-NB-Berner Oberland-nbdig-18512-page026.tiff
File:CH-NB-Berner Oberland-nbdig-18512-page027.tiff
File:CH-NB-Berner Oberland-nbdig-18512-page028.tiff
File:CH-NB-Berner Oberland-nbdig-18512-page029.tiff
File:CH-NB-Berner Oberland-nbdig-18512-page030.tiff
File:CH-NB-Berner Oberland-nbdig-18512-page031.tiff
File:CH-NB-Berner Oberland-nbdig-18512-page032.tiff
File:CH-NB-Berner Oberland-nbdig-18512-page033.tiff
File:CH-NB-Berner Oberland-nbdig-18512-page035.tiff
File:CH-NB - (Bauernhaus im Entlebuch) - Collection Gugelmann - GS-GUGE-SCHMID-DA-C-6.tif
File:CH-NB - (Offizier) - Collection Gugelmann - GS-GUGE-FEYERABEND-E-28.tif
File:CH-NB - (Sankt Gallerin) - Collection Gugelmann - GS-GUGE-LORY-E-8.tif
File:CH-NB - (Steffisbourg) - Collection Gugelmann - GS-GUGE-WEIBEL-C-8.tif
File:CH-NB - -Landschaft mit Turm- - Collection Gugelmann - GS-GUGE-2-a-5-2.tif
File:CH-NB - 1268, von den alten Zürcher Chronisten vermutete Zerstörung der Burg Baldern durch die Zürcher - Collection Gugelmann - GS-GUGE-FÜSSLI-JM-1-6.tif
File:CH-NB - 1268, Zerstörung der Burg auf dem Uetliberg durch die Zürcher - Collection Gugelmann - GS-GUGE-FÜSSLI-JM-1-4.tif
File:CH-NB - 1268, Zerstörung der Burg Uznaberg durch Rudolf von Habsburg - Collection Gugelmann - GS-GUGE-FÜSSLI-JM-1-8.tif
File:CH-NB - 1268, Zerstörung der Burg Wulp durch Rudolf von Habsburg und die Zürcher - Collection Gugelmann - GS-GUGE-FÜSSLI-JM-1-7.tif
File:CH-NB - 1268, Zerstörung von Städtchen und Burg Glanzenberg durch Zürich und Graf Rudolf von Habsburg - Collection Gugelmann - GS-GUGE-FÜSSLI-JM-1-5.tif
File:CH-NB - 1789, Musterung im Kanton Bern - Collection Gugelmann - GS-GUGE-KÖNIG-C-43.tif
File:CH-NB - 1789, Retour du Conseil général à Genève - Collection Gugelmann - GS-GUGE-GEISSLER-A-1.tif
File:CH-NB - 1792, Zuzug eidgenössischer Truppen in Basel - Collection Gugelmann - GS-GUGE-KELLER-R-F-1.tif
File:CH-NB - 1795 - Collection Gugelmann - GS-GUGE-ASCHMANN-B-3.tif
File:CH-NB - 1797, Einzug Napoleons in Basel - Collection Gugelmann - GS-GUGE-MECHEL-C-3.tif
File:CH-NB - 1798 Gefecht der Franzosen gegen die Berner bei Fraubrunnen - Collection Gugelmann - GS-GUGE-MÜLLER-FA-B-3.tif
File:CH-NB - 1798 Gefecht der Franzosen gegen die Berner bei Laupen - Collection Gugelmann - GS-GUGE-MÜLLER-FA-B-2.tif
File:CH-NB - 1798 Gefecht der Franzosen gegen die Berner bei Neuenegg - Collection Gugelmann - GS-GUGE-MÜLLER-FA-B-1.tif
File:CH-NB - 1798 Gefecht der Franzosen gegen die Berner bei Sankt Niklaus - Collection Gugelmann - GS-GUGE-MÜLLER-FA-B-4.tif
File:CH-NB - 1798, Berner Landsturm - Collection Gugelmann - GS-GUGE-KÖNIG-C-44.tif
File:CH-NB - 1798-1803, Einquartierung fremder Truppen - Collection Gugelmann - GS-GUGE-HESS-D-E-1.tif
File:CH-NB - 1798-1803, Einquartierung fremder Truppen - Collection Gugelmann - GS-GUGE-HESS-D-E-2.tif
File:CH-NB - 1802, Erste und zweite Beschiessung von Zürich 10. und 12.-13. Sept. - Collection Gugelmann - GS-GUGE-BEYEL-A-1.tif
File:CH-NB - 1802, Erste und zweite Beschiessung von Zürich 10. und 12.-13. Sept. - Collection Gugelmann - GS-GUGE-BEYEL-A-2.tif
File:CH-NB - 1802, Zweite Beschiessung von Zürich, 12. und 13. September - Collection Gugelmann - GS-GUGE-KELLER-H-E-7.tif
File:CH-NB - Aarau, Gerechtigkeitsbrunnen, vue partielle - Collection Max van Berchem - EAD-7065.tif
File:CH-NB - Aarau, Gerechtigkeitsbrunnen, vue partielle - Collection Max van Berchem - EAD-7066.tif
File:CH-NB - Aarau, Gesamtansicht von Westen - Collection Gugelmann - GS-GUGE-BLEULER-B-1.tif
File:CH-NB - Aarau, Gesamtansicht von Westen - Collection Gugelmann - GS-GUGE-LORY-C-1.tif
File:CH-NB - Aarau, Haus zum Erker, vue partielle - Collection Max van Berchem - EAD-7061.tif
File:CH-NB - Aarau, Haus zum Erker, vue partielle - Collection Max van Berchem - EAD-7062.tif
File:CH-NB - Aarau, Haus, Fassade, vue partielle - Collection Max van Berchem - EAD-7064.tif
File:CH-NB - Aarau, Saxer-Haus, vue partielle - Collection Max van Berchem - EAD-7063.tif
File:CH-NB - Aarau, Schloss und Stadtmauer, vue partielle - Collection Max van Berchem - EAD-7060.tif
File:CH-NB - Aarau, Stadtmauer, vue partielle - Collection Max van Berchem - EAD-7059.tif
File:CH-NB - Aarau, Turm, Fassade, vue partielle - Collection Max van Berchem - EAD-7058.tif
File:CH-NB - Aarau, Turm, vue partielle extérieure - Collection Max van Berchem - EAD-7057.tif
File:CH-NB - Aarau, von Westen - Collection Gugelmann - GS-GUGE-TRACHSLER-F-23.tif
File:CH-NB - Aarberg, Pfarrhaus und Kirche - Collection Gugelmann - GS-GUGE-WEIBEL-D-1.tif
File:CH-NB - Aarberg, Schloss - Collection Gugelmann - GS-GUGE-WEIBEL-F-4.tif
File:CH-NB - Aarberg, von Südosten - Collection Gugelmann - GS-GUGE-NÖTHIGER-F-1.tif
File:CH-NB - Aarburg, von Nordwesten - Collection Gugelmann - GS-GUGE-LORY-C-2.tif
File:CH-NB - Aarburg, von Südwesten - Collection Gugelmann - GS-GUGE-PERIGNON-C-1.tif
File:CH-NB - Aargau - Collection Gugelmann - GS-GUGE-BIRMANN-UND-FILS-C-13.tif
