id	file	title	date	place	medium	dimensions	width	height	photographer
1	File:Dornier Do K ETH-BIB-Flugzeug am Boden-Inlandflüge-LBS MH05-72-07.tiff	Flugzeug am Boden	1931-1937	Switzerland	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
2	File:Dornier Do K ETH-BIB-Flugzeug am Boden-Inlandflüge-LBS MH05-72-08.tiff	Flugzeug am Boden	1931-1937	Switzerland	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
3	File:Dornier Do K ETH-BIB-Flugzeug am Boden-Inlandflüge-LBS MH05-72-09.tiff	Flugzeug am Boden	1931-1937	Switzerland	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
4	File:Dornier Do K ETH-BIB-Gruppe Männer vor Flugzeug-Inlandflüge-LBS MH05-72-10.tiff	Gruppe Männer vor Flugzeug	1931-1937	Switzerland	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
5	File:ETH-BIB - französische Flugzeuge am Kap Juby - Tschadseeflug 1930-31-LBS MH02-08-1076.tiff	Französische Flugzeuge am Kap Juby	1930-1931	Marokko	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
6	File:ETH-BIB-(B-747-300-SUD) Buchs (Zürich) aus 500 m-Inlandflüge-LBS MH01-002881.tif	(B-747-300-SUD) Buchs (Zürich) aus 500 m	1922	Kloten	Reprofotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
7	File:ETH-BIB--Abessinienflug 1934-.tif	-	ca. 3/1934	-	Fotografie : Negativ	-	-		-
8	File:ETH-BIB--Inlandflüge-.tif	-	1919	-	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Creator:Schwarz/weiss
9	File:ETH-BIB--Inlandflüge-LBS MH03-1559.tif	-	1918-1937	-	Fotografie : Silbergelatine-Abzug	13 x 18 cm	18	13	Walter Mittelholzer
10	File:ETH-BIB--Kehris?- Kohrudgebirge aus 3000 m Höhe-Persienflug 1924-1925-LBS MH02-02-0146-AL-FL.tif	-	February 1925	Iran	Fotografie : Papierabzug, auf Papier montiert	12 x 17 cm	17	12	Walter Mittelholzer
11	File:ETH-BIB--Kehris?- Kohrudgebirge von Norden aus 2600 m Höhe-Persienflug 1924-1925-LBS MH02-02-0145-AL-FL.tif	-	February 1925	Iran	Fotografie : Papierabzug, auf Papier montiert	12 x 17 cm	17	12	Walter Mittelholzer
12	File:ETH-BIB--Kilimanjaroflug 1929-30-.tif	Dettenbühl (Wiedlisbach), Armenanstalt	-	-	-	-	-	-	Walter Mittelholzer
13	File:ETH-BIB--Mittelmeerflug 1928-.tif	-	-	-	Fotografie : Negativ	-	-	-	Walter Mittelholzer
14	File:ETH-BIB--Persienflug 1924-1925-.tif	Baden, Firma F. Merker & Co Metallwarenfabrik	January 1925	Bagdad	Fotografie : Papierabzug, auf Papier montiert	-	-	-	Walter Mittelholzer
15	File:ETH-BIB--Tschadseeflug 1930-31-.tif	Ermatingen, Blechemballagen-Fabrik		-	Fotografie : Negativ	-	-	-	Walter Mittelholzer
16	File:ETH-BIB--Weitere-.tif	-	-	-	Fotografie : Negativ	-	-	-	Walter Mittelholzer
17	File:ETH-BIB-2 Männer, Fokker im Hintergrund-Tschadseeflug 1930-31-LBS MH02-08-0338.tif	2 Männer, Fokker im Hintergrund	1930-1931	Afrika	Fotografie : Negativ	9 x 12 cm	12	9	Walter Mittelholzer
18	File:ETH-BIB-A 20 auf Flugplatz von Buschehr-Persienflug 1924-1925-LBS MH02-02-0207-AL-FL.tif	A 20 auf Flugplatz von Buschehr	February 1925	Buschehr	Fotografie : Papierabzug, auf Papier montiert	12 x 17 cm	17	12	Walter Mittelholzer
19	File:ETH-BIB-A 20 auf Flugplatz von Buschehr-Persienflug 1924-1925-LBS MH02-02-0208-AL-FL.tif	A 20 auf Flugplatz von Buschehr	February 1925	Buschehr	Fotografie : Papierabzug, auf Papier montiert	12 x 17 cm	17	12	Walter Mittelholzer
20	File:ETH-BIB-Aadorf v. O. aus 500 m-Inlandflüge-LBS MH01-005727.tif	Hafen von Barcelona mit Sicht über die Altstadt	1929	Aadorf	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
21	File:ETH-BIB-Aadorf v. S. O. aus 300 m-Inlandflüge-LBS MH01-002608.tif	Aadorf v. S. O. aus 300 m	1920	Aadorf	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
22	File:ETH-BIB-Aadorf v. S. O. aus 500 m-Inlandflüge-LBS MH01-005726.tif	Aadorf v. S. O. aus 500 m	1929	Aadorf	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
23	File:ETH-BIB-Aadorf v. S. O.-Inlandflüge-LBS MH01-006728.tif	Aadorf v. S. O.	22.04.32	Aadorf	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
24	File:ETH-BIB-Aadorf v. W. aus 600 m-Inlandflüge-LBS MH01-001931.tif	Aadorf v. W. aus 600 m	1919	Aadorf	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
25	File:ETH-BIB-Aadorf v. W. aus 600 m-Inlandflüge-LBS MH01-001932.tif	Aadorf v. W. aus 600 m	1919	Aadorf	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
26	File:ETH-BIB-Aadorf, Holzgeschäft Bachmann-Inlandflüge-LBS MH03-0001.tif	Aadorf, Holzgeschäft Bachmann	19 October 1931	Aadorf	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
27	File:ETH-BIB-Aadorf, Kistenfabrik AG-Inlandflüge-LBS MH03-0002.tif	Aadorf, Kistenfabrik AG	17 October 1931	Aadorf	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
28	File:ETH-BIB-Aadorf, Kistenfabrik AG-Inlandflüge-LBS MH03-0003.tif	Aadorf, Kistenfabrik AG	17 October 1931	Aadorf	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
29	File:ETH-BIB-Aadorf, Rolladenfabrik Griesser-Inlandflüge-LBS MH03-0004.tif	Aadorf, Rolladenfabrik Griesser	12.07.35	Aadorf	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
30	File:ETH-BIB-Aadorf, Rolladenfabrik Griesser-Inlandflüge-LBS MH03-0005.tif	Aadorf, Rolladenfabrik Griesser	12.07.35	Aadorf	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
31	File:ETH-BIB-Aadorf, Rolladenfabrik Griesser-Inlandflüge-LBS MH03-0006.tif	Aadorf, Rolladenfabrik Griesser	12.07.35	Aadorf	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
32	File:ETH-BIB-Aadorf, Rolladenfabrik Griesser-Inlandflüge-LBS MH03-0007.tif	Aadorf, Rolladenfabrik Griesser	12.07.35	Aadorf	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
33	File:ETH-BIB-Aarau aus 400 m-Inlandflüge-LBS MH01-000509.tif	Aarau aus 400 m	1919	Aarau	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
34	File:ETH-BIB-Aarau mit Stadthaus-Inlandflüge-LBS MH01-000115.tif	Aarau mit Stadthaus	1919	Aarau	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
35	File:ETH-BIB-Aarau v. S. O. aus 500 m-Inlandflüge-LBS MH01-006041.tif	Aarau v. S. O. aus 500 m	1930	Aarau	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
36	File:ETH-BIB-Aarau v. S. O. aus 600 m-Inlandflüge-LBS MH01-006040.tif	Aarau v. S. O. aus 600 m	1930	Aarau	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
37	File:ETH-BIB-Aarau, Altstadt aus 200 m-Inlandflüge-LBS MH01-002220.tif	Aarau, Altstadt aus 200 m	1919	Aarau	Reprofotografie : Diapositiv	13 x 18 cm	18	13	Walter Mittelholzer
38	File:ETH-BIB-Aarau, Altstadt v. W. aus 500 m-Inlandflüge-LBS MH01-000507.tif	Aarau, Altstadt v. W. aus 500 m	1919	Aarau	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
39	File:ETH-BIB-Aarau, Badeanstalt, E. W. Aarau-Inlandflüge-LBS MH01-006833.tif	Aarau, Badeanstalt, E. W. Aarau	01.07.32	Aarau	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
40	File:ETH-BIB-Aarau, Bahnhof aus 100 m-Inlandflüge-LBS MH01-002194.tif	Aarau, Bahnhof aus 100 m	1919	Aarau	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
41	File:ETH-BIB-Aarau, Bahnhof aus 150 m-Inlandflüge-LBS MH01-002193.tif	Aarau, Bahnhof aus 150 m	1919	Aarau	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
42	File:ETH-BIB-Aarau, Bally Schuhfabrik, Küttingerstrasse 21-Inlandflüge-LBS MH03-1426.tif	Aarau, Bally Schuhfabrik, Küttingerstrasse 21	1918-1937	Aarau	Fotografie : Silbergelatine-Abzug	13 x 18 cm	18	13	Walter Mittelholzer
43	File:ETH-BIB-Aarau, Betrieb an der Bachstrasse, Herosé-Stift-Inlandflüge-LBS MH03-0013.tif	Aarau, Betrieb an der Bachstrasse, Herosé-Stift	1918-1937	Aarau	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
44	File:ETH-BIB-Aarau, Dr. Lüscher-Inlandflüge-LBS MH03-0010.tif	Aarau, Dr. Lüscher	08.08.22	Aarau	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
45	File:ETH-BIB-Aarau, Eidgenössisches Turnfest Aarau-Inlandflüge-LBS MH01-006963.tif	Aarau, Eidgenössisches Turnfest Aarau	19.07.32	Aarau	Fotografie : Negativ	10 x 15 cm	15	10	Walter Mittelholzer
46	File:ETH-BIB-Aarau, Eidgenössisches Turnfest-Inlandflüge-LBS MH01-006962.tif	Aarau, Eidgenössisches Turnfest	19.07.32	Aarau	Fotografie : Negativ	10 x 15 cm	15	10	Walter Mittelholzer
47	File:ETH-BIB-Aarau, Eidgenössisches Turnfest-Inlandflüge-LBS MH01-006964.tif	Aarau, Eidgenössisches Turnfest	19.07.32	Aarau	Fotografie : Negativ	10 x 15 cm	15	10	Walter Mittelholzer
48	File:ETH-BIB-Aarau, Eidgenössisches Turnfest-Inlandflüge-LBS MH01-006965.tif	Aarau, Eidgenössisches Turnfest	19.07.32	Aarau	Fotografie : Negativ	10 x 15 cm	15	10	Walter Mittelholzer
49	File:ETH-BIB-Aarau, Eidgenössisches Turnfest-Inlandflüge-LBS MH01-006966.tif	Aarau, Eidgenössisches Turnfest	19.07.32	Aarau	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
50	File:ETH-BIB-Aarau, Eidgenössisches Turnfest-Inlandflüge-LBS MH01-006967.tif	Aarau, Eidgenössisches Turnfest	19.07.32	Aarau	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
51	File:ETH-BIB-Aarau, Eidgenössisches Turnfest-Inlandflüge-LBS MH01-006968.tif	Aarau, Eidgenössisches Turnfest	19.07.32	Aarau	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
52	File:ETH-BIB-Aarau, Industriegebiet-Inlandflüge-LBS MH03-0016.tif	Aarau, Industriegebiet	1918-1937	Aarau	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
53	File:ETH-BIB-Aarau, Krematorium-Inlandflüge-LBS MH03-1516.tif	Aarau, Krematorium	1918-1937	Aarau	Fotografie : Silbergelatine-Abzug	13 x 18 cm	18	13	Walter Mittelholzer
54	File:ETH-BIB-Aarau, Oehler & Cie Stahlguss-Inlandflüge-LBS MH03-0014.tif	Aarau, Oehler & Cie Stahlguss	1918-1937	Aarau	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
55	File:ETH-BIB-Aarau, Schachen von West aus 600 m-Inlandflüge-LBS MH01-000508.tif	Aarau, Schachen von West aus 600 m	1919	Aarau; Schachen (LU)	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
56	File:ETH-BIB-Aarau, Sprecher & Schuh AG Elektrotechnik-Inlandflüge-LBS MH03-0015.tif	Aarau, Sprecher & Schuh AG Elektrotechnik	1918-1937	Aarau	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
57	File:ETH-BIB-Aarau, Stahlwerke Oehler & Co. links, Sprecher & Schuh rechts-Inlandflüge-LBS MH03-1684.tif	Aarau, Stahlwerke Oehler & Co. links, Sprecher & Schuh rechts	1918-1937	Aarau	Fotografie : Silbergelatine-Abzug	13 x 18 cm	18	13	Walter Mittelholzer
58	File:ETH-BIB-Aarau, Stahlwerke Oehler & Co.-Inlandflüge-LBS MH03-1699.tif	Aarau, Stahlwerke Oehler & Co.	1918-1937	Aarau	Fotografie : Silbergelatine-Abzug	13 x 18 cm	18	13	Walter Mittelholzer
59	File:ETH-BIB-Aarau, Zeughaus Garage-Inlandflüge-LBS MH03-0009.tif	Aarau, Zeughaus Garage	08.08.22	Aarau	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
60	File:ETH-BIB-Aarau, Übersicht aus 500 m-Inlandflüge-LBS MH01-004511.tif	Aarau, Übersicht aus 500 m	1925	Aarau	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
61	File:ETH-BIB-Aarau, Übersicht, Hungerberg, Schachen v. S. W. aus 600 m-Inlandflüge-LBS MH01-002657.tif	Aarau, Übersicht, Hungerberg, Schachen v. S. W. aus 600 m	1919	Aarau; Schachen (LU)	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
62	File:ETH-BIB-Aarau, Übersicht, Schachen v. S. W. aus 700 m-Inlandflüge-LBS MH01-002658.tif	Aarau, Übersicht, Schachen v. S. W. aus 700 m	1920	Aarau; Schachen (LU)	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
63	File:ETH-BIB-Aarau-Inlandflüge-LBS MH01-000114.tif	Aarau	1919	Aarau	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
64	File:ETH-BIB-Aarau-Inlandflüge-LBS MH01-000440.tif	Aarau	1919	Aarau	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
65	File:ETH-BIB-Aarau-Inlandflüge-LBS MH01-008293.tif	Aarau	1937	Aarau	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
66	File:ETH-BIB-Aarau-Inlandflüge-LBS MH03-1652.tif	Aarau	1918-1937	Aarau	Fotografie : Silbergelatine-Abzug	13 x 18 cm	18	13	Walter Mittelholzer
67	File:ETH-BIB-Aarau-Torfeld, Oehler & Cie. AG, Maschinenfabrik & Eisengiesserei-Inlandflüge-LBS MH03-1604.tif	Aarau-Torfeld, Oehler & Cie. AG, Maschinenfabrik & Eisengiesserei	1918-1937	Aarau	Fotografie : Silbergelatine-Abzug	13 x 18 cm	18	13	Walter Mittelholzer
68	File:ETH-BIB-Aarberg v. W. aus 200 m-Inlandflüge-LBS MH01-002184.tif	Aadorf v. O. aus 500 m	1919	Aarberg	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
69	File:ETH-BIB-Aarberg-Inlandflüge-LBS MH01-002185.tif	Aarberg	1919	Aarberg	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
70	File:ETH-BIB-Aarburg aus 100 m-Inlandflüge-LBS MH01-004210.tif	Aarburg aus 100 m	1924	Aarburg	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
71	File:ETH-BIB-Aarburg mit Born, Rothrist, Oftringen aus 3000 m-Inlandflüge-LBS MH01-002714.tif	Aarburg mit Born, Rothrist, Oftringen aus 3000 m	1922	Oftringen; Rothrist; Aarburg	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
72	File:ETH-BIB-Aarburg und Olten aus 300 m-Inlandflüge-LBS MH01-002732.tif	Olivone im Bleniotal, Val Camadra, Valle Santa Maria, Piz Medel, Piz Valdurus v. S. aus 2200 m	1922	Olten; Oftringen; Aarburg	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	-
73	File:ETH-BIB-Aarburg v. N. O. aus 1000 m-Inlandflüge-LBS MH01-000808.tif	Aarburg v. N. O. aus 1000 m	1919	Aarburg	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
74	File:ETH-BIB-Aarburg v. S. aus 2000 m-Inlandflüge-LBS MH01-003266.tif	Aarburg v. S. aus 2000 m	1923	Aarburg	Fotografie : Glasdiapositiv	13 x 18 cm	18	13	Walter Mittelholzer
75	File:ETH-BIB-Aarburg v. S. aus 500 m-Inlandflüge-LBS MH01-000518.tif	Aarburg v. S. aus 500 m	1919	Aarburg	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
76	File:ETH-BIB-Aarburg, Aare v. S. W- aus 500 m-Inlandflüge-LBS MH01-000493.tif	Aarburg, Brücken aus 200 m	1919	Aare; Aarburg	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
77	File:ETH-BIB-Aarburg, Brücken aus 200 m-Inlandflüge-LBS MH01-004211.tif	Aarberg v. W. aus 200 m	1924	Aarburg	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
78	File:ETH-BIB-Aarburg, Holzhandlung-Inlandflüge-LBS MH03-0017.tif	Aarburg, Holzhandlung	22 November 1924	Aarburg	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
79	File:ETH-BIB-Aarburg, Holzhandlung-Inlandflüge-LBS MH03-0018.tif	Aarburg, Holzhandlung	22 November 1924	Aarburg	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
80	File:ETH-BIB-Aarburg, Kreuzstrasse-Bernstrasse bei-Inlandflüge-LBS MH03-0020.tif	Aarburg, Kreuzstrasse/Bernstrasse bei	07.10.24	Aarburg	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
81	File:ETH-BIB-Aarburg, Oftringen, Rothrist v. S. aus 3000 m-Inlandflüge-LBS MH01-003180.tif	Aarburg, Oftringen, Rothrist v. S. aus 3000 m	1923	Oftringen; Rothrist; Aarburg	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
82	File:ETH-BIB-Aarburg, Oftringen, Wartburghöf, Sälischloss-Inlandflüge-LBS MH01-003280.tif	Aarburg, Oftringen, Wartburghöf, Sälischloss	1923	Oftringen; Aarburg	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
83	File:ETH-BIB-Aarburg, Olten aus 600 m-Inlandflüge-LBS MH01-000495.tif	Aarburg, Olten aus 600 m	1919	Olten; Aarburg	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
84	File:ETH-BIB-Aarburg, Stickerei Zimmerli-Inlandflüge-LBS MH03-0021.tif	Aarburg, Stickerei Zimmerli	1918-1937	Aarburg	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
85	File:ETH-BIB-Aarburg, Strandbad-Inlandflüge-LBS MH03-1112.tif	Aarburg, Strandbad	17.05.31	Aarburg	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
86	File:ETH-BIB-Aarburg, Säli, Wartburghöf aus 100 m-Inlandflüge-LBS MH01-000807.tif	Aarburg, Säli, Wartburghöf aus 100 m	1919	Aarburg	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
87	File:ETH-BIB-Aarburg, Sälischloss, Olten aus 500 m-Inlandflüge-LBS MH01-004408.tif	Aarburg, Sälischloss, Olten aus 500 m	1925	Olten; Aarburg	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
88	File:ETH-BIB-Aarburg, Weber & Co, Baumwollspinnerei und Weberei-Inlandflüge-LBS MH03-0019.tif	Aarburg, Weber & Co, Baumwollspinnerei und Weberei	22 November 1924	Aarburg	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
89	File:ETH-BIB-Aarburg, Zentrum aus 400 m-Inlandflüge-LBS MH01-000501.tif	Aarburg, Zentrum aus 400 m	1919	Aarburg	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
90	File:ETH-BIB-Aarburg, Übersicht v. S. aus 500 m-Inlandflüge-LBS MH01-002905.tif	Aarburg, Übersicht v. S. aus 500 m	1922	Aarburg	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
91	File:ETH-BIB-Aare bei Büren-Inlandflüge-LBS MH01-006763.tif	Aare bei Büren	17.06.32	Büren an der Aare; Aare	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
92	File:ETH-BIB-Aarelauf bei Oltigen, Wohlensee-Inlandflüge-LBS MH01-006784.tif	Aarelauf bei Oltigen, Wohlensee	17.06.32	Wohlensee; Bern; Aare; Oltigen	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
93	File:ETH-BIB-Aarelauf bei Oltigen-Inlandflüge-LBS MH01-006783.tif	Aarelauf bei Oltigen	17.06.32	Bern; Aare; Oltigen	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
94	File:ETH-BIB-Aaretal zwischen Aarau und Wildegg-Inlandflüge-LBS MH03-1867.tif	Wildegg, Zementfabrik	1918-1937	Möriken-Wildegg; Küttigen	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	-
95	File:ETH-BIB-Aaretal, Grenchen, Bielersee v. O. aus 2000 m-Inlandflüge-LBS MH01-004066.tif	Aaretal, Grenchen, Bielersee v. O. aus 2000 m	1924	Grenchen	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
96	File:ETH-BIB-Aargauer Reusstal mit Oberrohrdorf-Weitere-LBS MH02-43-0004.tif	Zusammenfluss von Aare, Reuss und Limmat bei Brugg	08.07.35	Reusstal; Oberrohrdorf	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
97	File:ETH-BIB-Aarwangen aus 300 m-Inlandflüge-LBS MH01-002992.tif	Aarwangen aus 300 m	1923	Bern	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
98	File:ETH-BIB-Aarwangen, Ernst & Cie. Handstrickgarnfabrik-Inlandflüge-LBS MH03-0022.tif	Aarwangen, Ernst & Cie. Handstrickgarnfabrik	1918-1937	Aarwangen	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
99	File:ETH-BIB-Aarwangen, Langenthal v. N. O. aus 3000 m-Inlandflüge-LBS MH01-003185.tif	Aarwangen, Langenthal v. N. O. aus 3000 m	1923	Aarwangen; Langenthal	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
100	File:ETH-BIB-Aarwangen, Mumenthal aus 2000 m-Inlandflüge-LBS MH01-003258.tif	Aarwangen, Mumenthal aus 2000 m	1923	Aarwangen	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
101	File:ETH-BIB-Aarwangen, Mummental aus 400 m-Inlandflüge-LBS MH01-002990.tif	Aarwangen, Mummental aus 400 m	1923	Aarwangen	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
102	File:ETH-BIB-Aarwangen, Schwarzhäusern aus 400 m-Inlandflüge-LBS MH01-002991.tif	Aarwangen, Schwarzhäusern aus 400 m	1923	Aarwangen	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
103	File:ETH-BIB-Aarwangen, Übersicht-Inlandflüge-LBS MH01-006874.tif	Aarwangen, Übersicht	08.08.32	Aarwangen	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
104	File:ETH-BIB-Aasgeier auf einer Mauer-Tschadseeflug 1930-31-LBS MH02-08-0624.tif	Aasgeier auf einer Mauer	1930-1931	Kano	Fotografie : Negativ	9 x 12 cm	12	9	Walter Mittelholzer
105	File:ETH-BIB-Aathal bei Wetzikon, Spinnerei Floos-Inlandflüge-LBS MH03-0023.tif	Aathal bei Wetzikon, Spinnerei Floos	19.05.25	Aathal	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
106	File:ETH-BIB-Aathal bei Wetzikon, Spinnerei Floos-Inlandflüge-LBS MH03-1037.tif	Aathal bei Wetzikon, Spinnerei Floos	1918-1937	Wetzikon (ZH)	Reprofotografie : Negativ	18 x 24 cm	24	18	Walter Mittelholzer
107	File:ETH-BIB-Aathal Seegräben v. S. aus 300 m-Inlandflüge-LBS MH01-001432.tif	Aathal Seegräben v. S. aus 300 m	1919	Seegräben; Aathal	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
108	File:ETH-BIB-Aathal Seegräben, Pfäffikon, Pfäffikersee-Inlandflüge-LBS MH01-000429.tif	Aathal Seegräben, Pfäffikon, Pfäffikersee	1919	Pfäffiker See; Pfäffikon (ZH); Aathal	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
109	File:ETH-BIB-Aathal, Spinnerei Streiff-Inlandflüge-LBS MH03-1560.tif	Aarburg, Aare v. S. W: aus 500 m	1918-1937	Aathal	Fotografie : Silbergelatine-Abzug	13 x 18 cm	18	13	Walter Mittelholzer
110	File:ETH-BIB-Aathal, Spinnerei Streiff-Inlandflüge-LBS MH03-1578.tif	Aathal, Spinnerei Streiff	1918-1937	Aathal	Fotografie : Silbergelatine-Abzug	13 x 18 cm	18	13	Walter Mittelholzer
111	File:ETH-BIB-Aathal, Spinnerei Streiff-Inlandflüge-LBS MH03-1608.tif	Aathal, Spinnerei Streiff	1918-1937	Aathal	Fotografie : Silbergelatine-Abzug	13 x 18 cm	18	13	Walter Mittelholzer
112	File:ETH-BIB-Aathal, Spinnerei Unteraathal-Inlandflüge-LBS MH03-1568.tif	-	1918-1931	Aathal	Fotografie : Silbergelatine-Abzug	13 x 18 cm	18	13	-
113	File:ETH-BIB-Aathal, Spinnereien-Inlandflüge-LBS MH03-1565.tif	Aathal, Spinnereien	1918-1937	Aathal	Fotografie : Silbergelatine-Abzug	13 x 18 cm	18	13	Walter Mittelholzer
114	File:ETH-BIB-Abadeh aus 3000 m Höhe-Persienflug 1924-1925-LBS MH02-02-0170-AL-FL.tif	Abadeh aus 3000 m Höhe	February 1925	Iran	Fotografie : Papierabzug, auf Papier montiert	12 x 17 cm	17	12	Walter Mittelholzer
115	File:ETH-BIB-Abendstimmung am Cap Juby-Tschadseeflug 1930-31-LBS MH02-08-1052.tif	Randgebirge bei Buschehr aus 2500 m Höhe	15.01.31	Marokko	Fotografie : Negativ	9 x 12 cm	12	9	Walter Mittelholzer
116	File:ETH-BIB-Abessinienflug, Luftaufnahme-Abessinienflug 1934-LBS MH02-22-0004.tif	Abessinienflug, Luftaufnahme	ca. 2/1934	Ort unbekannt, auf dem Weg nach Abessinien	Fotografie : Negativ	6 x 9 cm	9	6	Walter Mittelholzer
