id	file	title	date	place	medium	dimensions	width	height	photographer
4208	File:ETH-BIB-Flughafen Wien-Weitere-LBS MH02-30-0039.tif	Flughafen Wien	August 1934	Vienna	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
4209	File:ETH-BIB-Flughafen Wien-Weitere-LBS MH02-30-0040.tif	Flughafen Wien	August 1934	Vienna	Fotografie : Negativ	2.4 x 3.6 cm	3.6	2.4	Walter Mittelholzer
4210	File:ETH-BIB-Flughafen Wien-Weitere-LBS MH02-30-0041.tif	Flughafen Wien	August 1934	Vienna	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
4211	File:ETH-BIB-Flughafen Wien-Weitere-LBS MH02-30-0042.tif	Flughafen Wien	August 1934	Vienna	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
4212	File:ETH-BIB-Flughafen Wien-Weitere-LBS MH02-30-0043.tif	Flughafen Wien	August 1934	Vienna	Fotografie : Negativ	9 x 12 cm	12	9	Walter Mittelholzer
4213	File:ETH-BIB-Flughafen-Inlandflüge-LBS MH05-97-01.tif	Flughafen	1931-1937	Dübendorf	Fotografie : Negativ	13 x 18 cm	3.6	2.4	Walter Mittelholzer
4214	File:ETH-BIB-Flughafen-Inlandflüge-LBS MH05-97-02.tif	Flughafen	1931-1937	Dübendorf	Fotografie : Negativ	10 x 12 cm (4 x 5'')	3.6	2.4	Walter Mittelholzer
4215	File:ETH-BIB-Flugmeeting in Dübendorf-Weitere-LBS MH02-14-0001.tif	Flugmeeting in Dübendorf	1932	Dübendorf	Fotografie : Negativ	13 x 18 cm	3.6	2.4	Walter Mittelholzer
4216	File:ETH-BIB-Flugmeeting in Dübendorf-Weitere-LBS MH02-14-0002.tif	Flugmeeting in Dübendorf	1932	Dübendorf	Fotografie : Negativ	13 x 18 cm	3.6	2.4	Walter Mittelholzer
4217	File:ETH-BIB-Flugmeeting in Dübendorf-Weitere-LBS MH02-14-0003.tif	Flugmeeting in Dübendorf	1932	Dübendorf	Fotografie : Negativ	13 x 18 cm	3.6	2.4	Walter Mittelholzer
4218	File:ETH-BIB-Flugplatz bei Frankfurt-Weitere-LBS MH02-46-0004.tif	-	October 1935	Frankfurt	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	-
4219	File:ETH-BIB-Flugplatz bei Frankfurt-Weitere-LBS MH02-46-0005.tif	-	October 1935	Frankfurt	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	-
4220	File:ETH-BIB-Flugplatz Birrfeld, Brugg, Aare, Reuss, Limmat v. S. aus 1500 m-Inlandflüge-LBS MH01-004048.tif	Flugplatz Birrfeld, Brugg, Aare, Reuss, Limmat v. S. aus 1500 m	1923	Birrfeld	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
4221	File:ETH-BIB-Flugplatz Birrfeld, Hausen, Brugg v. S. aus 1500 m-Inlandflüge-LBS MH01-003148.tif	Flugplatz Birrfeld, Hausen, Brugg v. S. aus 1500 m	1923	Birrfeld	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
4222	File:ETH-BIB-Flugplatz Bourget bei Paris-Weitere-LBS MH02-49-0022.tif	Flugplatz Bourget bei Paris	1932-1936	Ile-de-France	Fotografie : Negativ	13 x 18 cm	3.6	2.4	Walter Mittelholzer
4223	File:ETH-BIB-Flugplatz Bourget bei Paris-Weitere-LBS MH02-49-0023.tif	Flugplatz Bourget bei Paris	1932-1936	Ile-de-France	Fotografie : Negativ	13 x 18 cm	3.6	2.4	Walter Mittelholzer
4224	File:ETH-BIB-Flugplatz Bourget bei Paris-Weitere-LBS MH02-49-0024.tif	Flugplatz Bourget bei Paris	1932-1936	Ile-de-France	Fotografie : Negativ	13 x 18 cm	3.6	2.4	Walter Mittelholzer
4225	File:ETH-BIB-Flugplatz Bourget bei Paris-Weitere-LBS MH02-49-0025.tif	Flugplatz Bourget bei Paris	1932-1936	Ile-de-France	Fotografie : Negativ	13 x 18 cm	3.6	2.4	Walter Mittelholzer
4226	File:ETH-BIB-Flugplatz Bourget bei Paris-Weitere-LBS MH02-49-0026.tif	Flugplatz Bourget bei Paris	1932-1936	Ile-de-France	Fotografie : Negativ	13 x 18 cm	3.6	2.4	Walter Mittelholzer
4227	File:ETH-BIB-Flugplatz Cartagena-Tschadseeflug 1930-31-LBS MH02-08-0205.tif	Flugplatz Cartagena	1930-1931	Cartagena	Fotografie : Negativ	13 x 18 cm	12	9	Walter Mittelholzer
4228	File:ETH-BIB-Flugplatz Dübendorf, Wangen v. W. aus 200 m-Inlandflüge-LBS MH01-006633.tif	Flugplatz Dübendorf, Wangen v. W. aus 200 m	05.10.31	Kloten	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
4229	File:ETH-BIB-Flugplatz Dübendorf, Werftbau, Wangen-Inlandflüge-LBS MH01-006641.tif	Flugplatz Dübendorf, Werftbau, Wangen	01.10.31	Kloten	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
4230	File:ETH-BIB-Flugplatz in Addis Abeba-Abessinienflug 1934-LBS MH02-22-0777.tif	Flugplatz in Addis Abeba	ca. 3/1934	Addis Abeba	Fotografie : Negativ	13 x 18 cm	6	6	Walter Mittelholzer
4231	File:ETH-BIB-Flugplatz in Addis Abeba-Abessinienflug 1934-LBS MH02-22-0778.tif	Flugplatz in Addis Abeba	ca. 3/1934	Addis Abeba	Fotografie : Negativ	13 x 18 cm	6	6	Walter Mittelholzer
4232	File:ETH-BIB-Flugplatz in Addis Abeba-Abessinienflug 1934-LBS MH02-22-0779.tif	Flugplatz in Addis Abeba	ca. 3/1934	Addis Abeba	Fotografie : Negativ	13 x 18 cm	6	6	Walter Mittelholzer
4233	File:ETH-BIB-Flugplatz in Addis Abeba-Abessinienflug 1934-LBS MH02-22-0781.tif	Flugplatz in Addis Abeba	ca. 3/1934	Addis Abeba	Fotografie : Negativ	13 x 18 cm	6	6	Walter Mittelholzer
4234	File:ETH-BIB-Flugplatz in Addis Abeba-Abessinienflug 1934-LBS MH02-22-0782.tif	-	ca. 3/1934	Addis Abeba	Fotografie : Negativ	6 x 6 cm	6	6	Walter Mittelholzer
4235	File:ETH-BIB-Flugplatz Tablado (Sevilla) aus 200 m Höhe-Mittelmeerflug 1928-LBS MH02-05-0020.tif	Flugplatz Tablado (Sevilla) aus 200 m Höhe	May 1928	Seville	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
4236	File:ETH-BIB-Flugplatz Tablado aus 400 m Höhe-Mittelmeerflug 1928-LBS MH02-05-0044.tif	Flugplatz Tablado aus 400 m Höhe	May 1928	Spanien	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
4237	File:ETH-BIB-Flugplatz, Schwamendingen, Chemische Fabrik Flora, Mattenhof, Dübendorf-Inlandflüge-LBS MH01-000835.tif	Flugplatz, Schwamendingen, Chemische Fabrik Flora, Mattenhof, Dübendorf	1919	Kloten	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
4238	File:ETH-BIB-Flugroute Zürich-Khartoum-Addis Abeba, 1954-Abessinienflug 1934-LBS MH02-22-1189.tif	Flugroute Zürich-Khartoum-Addis Abeba, 1954	1954	-	Reprofotografie : Papierabzug	Spezialmass	-	-	Walter Mittelholzer
4239	File:ETH-BIB-Flugunfall des Piloten Gerber und Funkers Müller mit der General Aviation Clark GA-43, HB-ITU auf der Rigi-Inlandflüge-LBS MH05-43-01.tif	-	02.05.36	Rigi; Schwyz	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
4240	File:ETH-BIB-Flugunfall des Piloten Gerber und Funkers Müller mit der General Aviation Clark GA-43, HB-ITU auf der Rigi-Inlandflüge-LBS MH05-43-02.tif	-	02.05.36	Rigi; Schwyz	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
4241	File:ETH-BIB-Flugunfall des Piloten Gerber und Funkers Müller mit der General Aviation Clark GA-43, HB-ITU auf der Rigi-Inlandflüge-LBS MH05-43-03.tif	-	02.05.36	Rigi; Schwyz	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
4242	File:ETH-BIB-Flugunfall des Piloten Gerber und Funkers Müller mit der General Aviation Clark GA-43, HB-ITU auf der Rigi-Inlandflüge-LBS MH05-43-05.tif	-	02.05.36	Rigi; Schwyz	Fotografie : Negativ	2,4 x 3,6 cm	3.6	2.4	Walter Mittelholzer
