date	files
2016-01	0
2016-02	7716
2016-03	0
2016-04	0
2016-05	342
2016-06	536
2016-07	0
2016-08	4810
2016-09	0
2016-10	1
2016-11	0
2016-12	3859
2017-01	0
2017-02	0
2017-03	2
