x	y	count
9	6	1
9	7	1
9	8	1
9	9	1
13	9	1
13	10	1
15	10	1
9	12	1
25	19	1
20	30	1
18	13	2
12	10	3
11	15	3
7	6	4
9	14	8
5	6	9
21	30	10
9	13	11
9	9	23
6	8	24
23	23	40
10	15	96
18	24	123
12	17	217
6	7	300
6	9	410
6	6	443
10	12	696
13	17	1339
9	12	1649
2	4	4579
9	10	11600
13	18	29484
