File:CH-NB - 1789, Musterung im Kanton Bern - Collection Gugelmann - GS-GUGE-KÖNIG-C-43.tif	2015-02-28T11:05:03Z	Swiss National Library	Public domain	1789 in Switzerland|1823 lithographs|All media supported by Wikimedia CH|Author died more than 100 years ago public domain images|CC-PD-Mark|CH-NB-Collection Gugelmann|Collection Gugelmann|Franz Niklaus König|GWToolset Batch Upload|Historical images of the canton of Bern|Media contributed by the Swiss National Library|Military history of Switzerland|Musterung	34164812	5700	4105	NIKON CORPORATION
File:CH-NB - 1789, Retour du Conseil général à Genève - Collection Gugelmann - GS-GUGE-GEISSLER-A-1.tif	2015-03-27T09:54:40Z	Kelson	Public domain	1789 etchings|1789 in Switzerland|All media supported by Wikimedia CH|Author died more than 100 years ago public domain images|CC-PD-Mark|CH-NB-Collection Gugelmann|Christian Gottlieb Geissler|Collection Gugelmann|GWToolset Batch Upload|Historical images of Geneva|Media contributed by the Swiss National Library	87610160	5906	4943	Phase One
File:CH-NB - 1792, Zuzug eidgenössischer Truppen in Basel - Collection Gugelmann - GS-GUGE-KELLER-R-F-1.tif	2015-02-28T10:22:17Z	Swiss National Library	Public domain	1792 engravings|1792 in Switzerland|All media supported by Wikimedia CH|Author died more than 100 years ago public domain images|Baselstab|CC-PD-Mark|CH-NB-Collection Gugelmann|Collection Gugelmann|Engravings of handshakes|GWToolset Batch Upload|Historical flags of Switzerland|Historical images of Basel|Media contributed by the Swiss National Library|Military history of Switzerland|Reinhardt Keller	50078756	3254	5127	Canon
File:CH-NB - 1795 - Collection Gugelmann - GS-GUGE-ASCHMANN-B-3.tif	2015-02-20T15:52:36Z	Swiss National Library	Public domain	1795 engravings|1795 in Switzerland|All media supported by Wikimedia CH|Author died more than 100 years ago public domain images|CC-PD-Mark|CH-NB-Collection Gugelmann|Collection Gugelmann|GWToolset Batch Upload|Historical images of the canton of Zürich|Johann Jakob Aschmann|Knights in art|Landsgemeinde|Media contributed by the Swiss National Library|Mettmenstetten|Politics in art	82538400	6142	4478	Phase One
File:CH-NB - 1797, Einzug Napoleons in Basel - Collection Gugelmann - GS-GUGE-MECHEL-C-3.tif	2015-03-27T09:55:05Z	Kelson	Public domain	1797 in Switzerland|All media supported by Wikimedia CH|Author died more than 100 years ago public domain images|CC-PD-Mark|CH-NB-Collection Gugelmann|Christian von Mechel|Collection Gugelmann|GWToolset Batch Upload|Historical images of Basel|Ludwig Friedrich Kaiser|Media contributed by the Swiss National Library|Military history of Switzerland	39907682	5700	4439	NIKON CORPORATION
File:CH-NB - 1798 Gefecht der Franzosen gegen die Berner bei Fraubrunnen - Collection Gugelmann - GS-GUGE-MÜLLER-FA-B-3.tif	2015-03-30T13:20:39Z	Swiss National Library	Public domain	1798 etchings|1798 events in Switzerland|All media supported by Wikimedia CH|Armies of the French Revolution era|Author died more than 100 years ago public domain images|CC-PD-Mark|CH-NB-Collection Gugelmann|Collection Gugelmann|François-Aloys Müller|Fraubrunnen|GWToolset Batch Upload|Helvetic Republic|Media contributed by the Swiss National Library|Military history of Switzerland	59726476	6142	3240	Phase One
File:CH-NB - 1798 Gefecht der Franzosen gegen die Berner bei Laupen - Collection Gugelmann - GS-GUGE-MÜLLER-FA-B-2.tif	2015-03-30T13:21:33Z	Swiss National Library	Public domain	1798 etchings|1798 events in Switzerland|All media supported by Wikimedia CH|Author died more than 100 years ago public domain images|CC-PD-Mark|CH-NB-Collection Gugelmann|Collection Gugelmann|François-Aloys Müller|GWToolset Batch Upload|Helvetic Republic|Laupen|Media contributed by the Swiss National Library|Military history of Switzerland	60093920	6142	3260	Phase One
File:CH-NB - 1798 Gefecht der Franzosen gegen die Berner bei Neuenegg - Collection Gugelmann - GS-GUGE-MÜLLER-FA-B-1.tif	2015-03-30T13:19:24Z	Swiss National Library	Public domain	1798 etchings|1798 events in Switzerland|All media supported by Wikimedia CH|Author died more than 100 years ago public domain images|CC-PD-Mark|CH-NB-Collection Gugelmann|Collection Gugelmann|François-Aloys Müller|French cavalry during the French Revolution and Consulate|GWToolset Batch Upload|Helvetic Republic|Media contributed by the Swiss National Library|Military history of Switzerland|Neuenegg	60592256	6142	3287	Phase One
File:CH-NB - 1798 Gefecht der Franzosen gegen die Berner bei Sankt Niklaus - Collection Gugelmann - GS-GUGE-MÜLLER-FA-B-4.tif	2015-03-30T13:22:32Z	Swiss National Library	Public domain	1798 etchings|1798 events in Switzerland|All media supported by Wikimedia CH|Author died more than 100 years ago public domain images|CC-PD-Mark|CH-NB-Collection Gugelmann|Collection Gugelmann|François-Aloys Müller|GWToolset Batch Upload|Helvetic Republic|Media contributed by the Swiss National Library|Merzligen|Military history of Switzerland	60997320	6142	3309	Phase One
File:CH-NB - 1798, Berner Landsturm - Collection Gugelmann - GS-GUGE-KÖNIG-C-44.tif	2015-03-27T09:55:25Z	Kelson	Public domain	All media supported by Wikimedia CH|Author died more than 100 years ago public domain images|CC-PD-Mark|CH-NB-Collection Gugelmann|Collection Gugelmann|Franz Niklaus König|GWToolset Batch Upload|Media contributed by the Swiss National Library|Military history of Switzerland	35857144	5700	4131	NIKON CORPORATION
