0	https://commons.wikimedia.org/w/api.php?action=parse&format=json&page=Category:Media contributed by the ETH-Bibliothek/Reports/improvement	File:Aettenschwil 1953.jpg
78	File:Beznau-1 im Bau.jpg	User:OgreBot/Uploads by new users/2017 June 08 15:00	-	user_page	643775	623194	96.8030756087
79	File:Bilder vom Spitzbergenflug, Arthur Neumann, W. Mittelholzer .jpg	User:OgreBot/Watercraft/2018 March 13	-	user_page	254932	50133	19.6652440651
79	File:Bilder vom Spitzbergenflug, Arthur Neumann, W. Mittelholzer .jpg	User:Schmelzle/NewFiles/2018 March 11-20	-	user_page	335305	48768	14.5443700511
79	File:Bilder vom Spitzbergenflug, Arthur Neumann, W. Mittelholzer .jpg	User:Zwiadowca21/NewFiles/2018 March 11-20	-	user_page	328524	56117	17.0815526415
79	File:Bilder vom Spitzbergenflug, Arthur Neumann, W. Mittelholzer .jpg	Commons:WikiProject Aviation/recent uploads/2018 March 13	-	wikiproject	246258	9921	4.02870160563
80	File:Bilder vom Spitzbergenflug, Arthur Neumann, W. Mittelholzer.jpg	Commons:WikiProject Aviation/recent uploads/2018 March 13	-	wikiproject	246258	129577	52.6183920928
81	File:BreitlohNuerensdorff-19610307i.jpg	File:BreitlohNuerensdorff-19610307i.tif	-	file	18922	14643	77.3861114047
81	File:BreitlohNuerensdorff-19610307i.jpg	Commons:WikiProject Aviation/recent uploads/2018 January 24	-	wikiproject	398802	291516	73.0979282952
82	File:BreitlohNuerensdorff-19610307i.tif	File:BreitlohNuerensdorff-19610307i.jpg	-	file	18970	14643	77.1903004744
82	File:BreitlohNuerensdorff-19610307i.tif	Commons:WikiProject Aviation/recent uploads/2018 January 24	-	wikiproject	398802	292352	73.3075561306
83	File:Com F57-00018.tif	Category:Media contributed by the ETH-Bibliothek/Reports/improvement	-	category	21947	12748	58.0853875245
84	File:Com LC0624-002-008.jpg	User:OgreBot/Uploads by new users/2017 July 08 15:00	-	user_page	344389	321953	93.4852739199
85	File:Dia 247-00232.tif	File:Leo Wehrli.jpg	-	file	22191	15261	68.7711234284
86	File:Dornier Do K ETH-BIB-Flugzeug am Boden-Inlandflüge-LBS MH05-72-07.tiff	File:ETH-BIB-Flugzeug am Boden-Inlandflüge-LBS MH05-72-07.tif	-	file	1160	93	8.01724137931
