4650	File:ETH-BIB-Bernoulli, Daniel (1700-1782)-Portrait-Portr 10971.tif (cropped).jpg	Daniel Bernoulli	es	article	34679	863	2.48853773177
4650	File:ETH-BIB-Bernoulli, Daniel (1700-1782)-Portrait-Portr 10971.tif (cropped).jpg	1700	en	article	58487	32653	55.8295005728
4650	File:ETH-BIB-Bernoulli, Daniel (1700-1782)-Portrait-Portr 10971.tif (cropped).jpg	Daniel Bernoulli	en	article	94714	527	0.556411934878
4650	File:ETH-BIB-Bernoulli, Daniel (1700-1782)-Portrait-Portr 10971.tif (cropped).jpg	Daniel Bernoulli	de	article	25691	1296	5.0445681367
4650	File:ETH-BIB-Bernoulli, Daniel (1700-1782)-Portrait-Portr 10971.tif (cropped).jpg	دانیل برنولی	azb	article	7029	554	7.88163323375
4652	File:ETH-BIB-Bernoulli, Rudolf (1880-1948)-Portrait-Portr 00794.tif	Rudolf Bernoulli	de	article	9009	269	2.9859029859
4653	File:ETH-BIB-Beromünster aus 300 m-Inlandflüge-LBS MH01-003608.tif	Beromünster	de	article	93352	41838	44.8174650784
4672	File:ETH-BIB-Berschis, Sichelchamm, Fulfirst, Rheintal v. S. W. aus 3600 m-Inlandflüge-LBS MH01-001524.tif	فولفيرست	ar	user_page	128846	652	0.506030454962
4672	File:ETH-BIB-Berschis, Sichelchamm, Fulfirst, Rheintal v. S. W. aus 3600 m-Inlandflüge-LBS MH01-001524.tif	Fulfirst	pl	article	9186	837	9.11169170477
4672	File:ETH-BIB-Berschis, Sichelchamm, Fulfirst, Rheintal v. S. W. aus 3600 m-Inlandflüge-LBS MH01-001524.tif	Fulfirst	de	article	9162	774	8.44793713163
4672	File:ETH-BIB-Berschis, Sichelchamm, Fulfirst, Rheintal v. S. W. aus 3600 m-Inlandflüge-LBS MH01-001524.tif	Gross Fulfirst	ceb	article	44173	1811	4.09978946415
4676	File:ETH-BIB-Berzona, Haus von Max Frisch-Com LC0361-00B-003-001-001.jpg	Max Frisch	de	article	235538	58509	24.8405777412
4677	File:ETH-BIB-Berzona, Haus von Max Frisch-Com LC0361-00B-003-001-001.tiff	Benutzer:ETH-Bibliothek	de	user_page	87959	82163	93.4105662866
4677	File:ETH-BIB-Berzona, Haus von Max Frisch-Com LC0361-00B-003-001-001.tiff	Berzona (Valle Onsernone)	de	article	46365	27235	58.7404292031
4786	File:ETH-BIB-Beznau, Atomkraftwerk-LBS H1-009466.tif	Beznau	de	article	13776	7192	52.2067363531
4794	File:ETH-BIB-Beznau, Atomkraftwerk-LBS H1-027076.tif	Kernkraftwerk Beznau	de	article	82562	13672	16.5596763644
4817	File:ETH-BIB-Biasca, Pasqio, Ponte Val Blenio v. S. aus 1110 m-Inlandflüge-LBS MH01-006146.tif	Biasca	de	article	71255	16817	23.6011507964
4819	File:ETH-BIB-Biasca-LBS H1-015900.tif	Biasca	it	article	114672	97394	84.9326775499
4824	File:ETH-BIB-Biasca-LBS H1-016427.tif	Biasca	it	article	114672	96519	84.169631645
5017	File:ETH-BIB-Biglen-LBS H1-021777.tif	Biglen	de	article	95154	69874	73.4325409336
5028	File:ETH-BIB-Bilten aus 400 m-Inlandflüge-LBS MH01-004255.tif	Bilten	de	article	39719	20534	51.6981797125
5034	File:ETH-BIB-Binningen aus 300 m-Inlandflüge-LBS MH01-004366.tif	1004	als	article	11221	1607	14.3213617325
5157	File:ETH-BIB-Bissone, Damm von Melide-LBS H1-023949.tif	Melide TI	de	article	63012	43454	68.961467657
5157	File:ETH-BIB-Bissone, Damm von Melide-LBS H1-023949.tif	Bissone	de	article	67269	38204	56.7928763621
5164	File:ETH-BIB-Bitsch, Naters-Dia 247-03301.tif	Bitsch VS	de	article	32964	15710	47.6580512074
5185	File:ETH-BIB-Bière, Waffenplatz-LBS H1-011860.tif	Bière	de	article	64170	51466	80.2025868786
5185	File:ETH-BIB-Bière, Waffenplatz-LBS H1-011860.tif	Bière	als	article	57980	46354	79.94825802
5196	File:ETH-BIB-Blaue Grotte, Capri. Schematisch nach A. Sieberg-Dia 247-Z-00135.tif	Blaue Grotte (Capri)	de	article	10389	1938	18.6543459428
5259	File:ETH-BIB-Blick ins Kraterloch des Kibo aus 6500 m Höhe-Kilimanjaroflug 1929-30-LBS MH02-07-0119.tif	Kilimanjaro	pt	article	62917	34414	54.6974585565
