102	File:ETH-BIB-"Gross-Davoser" See-Terrasse von Islen talabwärts-Dia 247-14430.tif
103	File:ETH-BIB-"Hito" Grenzstein Aegentina-Chile-Dia 247-11362.tif
104	File:ETH-BIB-"Milieu du monde", La Sarraz von Nordost-Dia 247-12813.tif
105	File:ETH-BIB-"Oberalbis" vom Grat zwischen Schweikhof und Albishorn-Dia 247-08352.tif
106	File:ETH-BIB-"Schalenstein" Err. Gneisblock bei Ins, von Norden-Dia 247-13171.tif
107	File:ETH-BIB-"Schalenstein" Errat. Gneisblock bei Ins, von Ins-Dia 247-13173.tif
108	File:ETH-BIB-"Schmelze" Ausser-Ferrera, Avers-Dia 247-05029.tif
109	File:ETH-BIB-"Station" Harle (für Spiekerog)-Dia 247-05775.tif
110	File:ETH-BIB-"Unterer Albis" Adliswil, vom "Boden" ob Hirschen-Albis-Dia 247-08360.tif
111	File:ETH-BIB-"Vice-Roy of India" in Marseille-Dia 247-10536.tif
112	File:ETH-BIB-"Viceroy of India", oberstes Deck mit Rettungsbooten, rückw.-Dia 247-07584.tif
113	File:ETH-BIB-"Viceroy of India", oberstes Deck von hinten-Dia 247-07585.tif
114	File:ETH-BIB-"Viceroy of India", von der Kommandobrücke nach vorn-Dia 247-07583.tif
115	File:ETH-BIB-"Viceroy of India", Äffchen an Board-Dia 247-07582.tif
116	File:ETH-BIB-"Züge" Bahn- und Strassenkreuzung Landwasser abwärts-Dia 247-14415.tif
117	File:ETH-BIB-"Züge" Bärentritt, Landwasser abwärts-Dia 247-14418.tif
118	File:ETH-BIB-"Züge" Engpass abwärts oberhalb Bahnbrücke-Dia 247-14414.tif
119	File:ETH-BIB-"Züge" Landwasser abwärts, unterhalb Schmelzboden-Dia 247-14411.tif
120	File:ETH-BIB-"Züge" Lawine über Landwasser (abwärts)-Dia 247-14417.tif
121	File:ETH-BIB-"Züge" Schutt-Staung am Felskopf (Pseudo-Falte) Landwasser abwärts-Dia 247-14416.tif
122	File:ETH-BIB-"Züge" Strassen-Doppel-Tunnel mit Lawinenrest, abwärts-Dia 247-14412.tif
123	File:ETH-BIB-"Züge" Strassen-Doppel-Tunnel mit Lawinenrest, aufwärts-Dia 247-14413.tif
124	File:ETH-BIB-(B-747-300-SUD) Buchs (Zürich) aus 500 m-Inlandflüge-LBS MH01-002881.tif
125	File:ETH-BIB--.tif
126	File:ETH-BIB--Abessinienflug 1934-.tif
127	File:ETH-BIB--Gneissplatten … ?--Dia 247-F-00978.tif
128	File:ETH-BIB--Inlandflüge-.tif
129	File:ETH-BIB--Inlandflüge-LBS MH03-1559.tif
130	File:ETH-BIB--Kehris?- Kohrudgebirge aus 3000 m Höhe-Persienflug 1924-1925-LBS MH02-02-0146-AL-FL.tif
131	File:ETH-BIB--Kehris?- Kohrudgebirge von Norden aus 2600 m Höhe-Persienflug 1924-1925-LBS MH02-02-0145-AL-FL.tif
132	File:ETH-BIB--Kilimanjaroflug 1929-30-.tif
133	File:ETH-BIB--Mittelmeerflug 1928-.tif
134	File:ETH-BIB--Persienflug 1924-1925-.tif
135	File:ETH-BIB--Portrait-.tif
136	File:ETH-BIB--Tschadseeflug 1930-31-.tif
137	File:ETH-BIB--Weitere-.tif
138	File:ETH-BIB--…?- Jakob Messikommer-Dia 247-14865.tif
139	File:ETH-BIB-2 km westlich vor Col de Tega, Corsica, Blick nach Süden (S)-Dia 247-11862.tif
140	File:ETH-BIB-2 Km westlich vor Col de Tega, Corsica, Felsabfall-Dia 247-11863.tif
141	File:ETH-BIB-2 Männer, Fokker im Hintergrund-Tschadseeflug 1930-31-LBS MH02-08-0338.tif
142	File:ETH-BIB-39 km vor Biskra (N), Tafelberg und Oase-Dia 247-08164.tif
143	File:ETH-BIB-50 jähriges Jubiläum des Eidg. Polytechnikums, Zürich 29. Juli 1905-Portrait-Portr 10664-PL.tif
144	File:ETH-BIB-A 20 auf Flugplatz von Buschehr-Persienflug 1924-1925-LBS MH02-02-0207-AL-FL.tif
145	File:ETH-BIB-A 20 auf Flugplatz von Buschehr-Persienflug 1924-1925-LBS MH02-02-0208-AL-FL.tif
146	File:ETH-BIB-Aach, Hegau von SSW-Dia 247-00726.tif
