id	indentation	category	count
135	2	Media contributed by the Museo de la Memoria y los Derechos Humanos	99
136	2	Museum für Kunst und Gewerbe Sammlung Online	99
137	1	Media contributed by the Museum of Modern Art in Warsaw	97
138	2	Files from Memoria Chilena	90
139	2	Media contributed by the Archives municipales de Rennes	90
140	2	Files provided by the Asociación Amigos del Tranvía	88
141	2	Images from the Royal Library of Belgium	84
142	1	Muzeum Cyfrowe 2016	84
143	2	Images from Museo Galileo	83
144	2	GLAM presentations	82
145	2	GLAM buildings needing review	81
146	2	Images from the University of Edinburgh	79
147	2	Images from Regionarkivet	76
148	2	Media contributed by Brno Observatory and Planetarium	76
149	2	GLAM in Brazil	74
150	1	Media contributed by the European Solidarity Centre	71
151	2	GLAM in Poland	68
152	2	Mary Rose Trust donation	67
153	2	GLAM in The Netherlands	63
154	2	Images donated by Museo Memoria y Tolerancia	63
155	1	Musée des Augustins de Toulouse	62
156	2	Media contributed by Salvador Allende Foundation	60
157	1	Musée de l'ardoise (Trélazé)	60
158	2	GLAM 3D reconstructions by Cicero Moraes	58
159	2	GLAM at Koninklijke Bibliotheek	58
160	2	Images from the Museo de Arte Popular	58
161	2	Files provided by Espacio Memoria y Derechos Humanos	56
162	2	Files provided by Biblioteca del Senado de la provincia de Buenos Aires	54
163	2	Images from Herbert Art Gallery and Museum	50
164	2	Media contributed by The Gallen-Kallela Museum	50
165	2	GLAM events	49
166	2	Images from Dig It!	49
167	2	Contributions from EDRA	47
168	2	Media contributed by Archaeological Museum Hamburg	46
169	2	Media contributed by the City Museum of Ljubljana	46
170	2	Files donated by VocalEyes	43
171	2	Documents from Centro de Estudios de Historia de México Carso Fundación Carlos Slim	41
172	2	Images from the Victor Horta Museum	40
173	1	Musée national de céramique (Sèvres)	39
174	2	Files provided by the Casal de Catalunya	38
175	2	Contributions from Serra i Abella	38
176	2	GLAM projects of Wikimedia Argentina	38
177	2	Wikimedia GLAM brochures	35
178	2	GLAM in the UK	34
179	2	GLAM logos	34
180	2	Files from the BCN	33
181	2	Files provided by Biblioteca Nacional de España	31
182	2	Files provided by Fundación Cultural Prieto Coussent	31
183	2	Historical Archives of Belgrade	31
184	2	Media from CBA UNISA	31
185	2	Media from Archivi Mondadori	30
186	1	Media contributed by the Museum of Polish History	30
187	2	QRpedia	29
188	2	Images from Bonnier	29
189	2	Media owned by simpleshow	28
190	2	Wikipedians-in-Residence	27
191	1	Media contributed by the Mazovian Digital Library	27
192	2	Napoléon et l'Empire - Archives Nationales	26
193	2	Theater Bosko Buha	26
194	1	Media contributed by the Archives Nationales (France)/9	26
195	2	MUSE - Science Museum	24
196	2	Wiki Loves Monuments	24
197	2	Contributions from Museu Nacional Arqueològic de Tarragona	24
198	2	High-quality images of the Charters of Freedom from the National Archives and Records Administration	24
199	2	Images from Umeå University	24
200	2	Media contributed by Museo Nacional de Bellas Artes (Chile)	24
201	2	Media from Flipje & Streekmuseum Tiel	24
202	2	Files from the Australian Broadcasting Corporation	23
203	2	Media owned by Consumer Reports	23
204	2	Wikipassport	22
205	2	Images from Paisley Museum	22
206	2	GLAM in Germany	21
207	2	Contributions from Escola d'Art i Disseny de Tarragona	21
208	2	WikiArS	20
209	1	Watercolours from Herbert Art Gallery and Museum	20
210	2	This Month in GLAM	19
211	1	Wikimedia and York Museums Trust	19
212	2	Terazije Theatre	18
213	2	GLAM in Serbia	17
214	2	Images from Eindhoven University of Technology - Information Expertise Center	17
215	1	Wikimedia and the National Library of Scotland	17
216	2	GLAMwiki toolset project	16
217	1	Musée national de la Marine	16
218	2	Images from Rijksvoorlichtingsdienst	15
219	2	Paedophryne amauensis featured content	15
220	2	Images from Glasgow Women's Library	13
221	2	Images from the King Baudouin Foundation	13
222	2	GLAM activists	11
223	2	Images from Groam House Museum	11
224	2	Media contributed by Roman Catholic Diocese of Brno	11
225	1	Wikimedia and the British Library	11
226	2	GLAM in Uruguay	10
227	2	Media contributed by the George Washington University	10
228	2	Wikimedia medicine	10
229	2	GLAM in Macedonia	9
230	2	Files provided by Fundación Miguel Delibes	9
231	2	Images from the Swiss Federal Statistical Office	9
232	2	GLAM in Italy	8
233	2	Images from the National Museum of Australia	8
234	2	GLAM in Argentina	8
235	2	GLAM in Austria	8
236	2	Contributions from Escuela de arte diez	7
237	2	Creative Commons toolkits booksprint	7
238	1	Musée de Bretagne	7
239	1	RIAN Archive photos of Perm	7
240	2	Wiki From Above	6
241	2	OpenGLAM	6
242	2	Images from the Alfredo E. Múlgura Historical Museum	6
243	2	GLAM in Armenia	6
244	2	Files provided by Instituto Andaluz del Patrimonio Histórico	6
245	1	Washing in Auckland Museum	6
246	2	Media contributed by Epigraphic Database Heidelberg	5
247	2	Media from Medelhavsmuseet	5
248	1	National Museum in Warsaw - Europeana Art History challenge 2016	5
249	2	GLAM in Hungary	4
250	2	Media contributed by the Basel University Library	4
251	2	GLAM project process diagrams	4
252	2	Media contributed by the National Historical Museum	4
253	2	SaveMLAK	4
254	1	Wikimedia and Derby Museums	4
255	1	Wikimedia and Herbert Art Gallery and Museum	4
256	1	National Library in Jagodina	4
257	2	GLAM in Bulgaria	3
258	2	GLAM in the USA	3
259	2	Spanish Civil War contest	3
260	2	GLAM in Mexico	3
261	2	CENFOTO	3
262	2	Files provided by Fundación Joaquín Díaz	3
263	2	Media contributed by the Cambridge Public Library	3
264	2	Media from Östasiatiska museet	3
265	2	Public Library "Bora Stanković", Vranje	3
266	1	Videos from the National Archives and Records Administration	3
267	2	GLAM in Canada	2
268	2	GLAM in Sweden	2
269	2	Media contributed by Agrupación Amigos del Winnipeg	2
270	2	Media contributed by the Musée national de la Marine	2
271	2	Media from AlterJT	2
272	2	Wikistation	2
273	1	W in Auckland Museum	2
274	2	GLAM in Israel	1
275	2	GLAM in Russia	1
276	2	GLAM Y. & S. Nazarian Library, University of Haifa	1
277	2	GLAM in Taiwan	1
278	2	Media contributed by Masaryk University	1
279	2	Wikimedia projects in zoos	1
280	2	GLAM in Ukraine	1
281	2	GLAM in Norway	1
282	2	GLAMout	1
283	2	Images uploaded as part of S4C - WMUK collaboration	1
284	2	Media from Biblioteca civica G. Tartarotti	1
285	2	Media from Biblioteca San Giorgio	1
286	1	Musée des Hospices civils de Lyon	1
287	1	Wikimedia and the British Museum	1
288	1	Wikimedia and Museums Galleries Scotland	1
289	1	Musée des Beaux-Arts de Lyon	1
