decade	files
1550	1
1560	0
1570	0
1580	0
1590	0
1600	1
1610	0
1620	0
1630	0
1640	1
1650	0
1660	1
1670	0
1680	0
1690	0
1700	0
1710	1
1720	0
1730	0
1740	0
1750	3
1760	0
1770	0
1780	1
1790	0
1800	5
1810	1
1820	3
1830	3
1840	12
1850	5
1860	24
1870	43
1880	61
1890	422
1900	7823
1910	1581
1920	3212
1930	9165
1940	5977
1950	10228
1960	6077
1970	1182
1980	84
1990	20
2000	1
uncertain	4351
unknown	318
