id	fle	w	c	o	tot
13326	File:ETH-BIB-Frauenfeld, Übersicht aus 2100 m-Inlandflüge-LBS MH01-002529.tif	0	1	0	1
13316	File:ETH-BIB-Frauenfeld, Walzmühle, ab 1917- Aluminiumwarenfabrik Ferdinand Sigg-Inlandflüge-LBS MH03-1623.tif	0	1	0	1
13315	File:ETH-BIB-Frauenfeld, Walzmühle, ab 1917- Aluminiumwarenfabrik Ferdinand Sigg, Blick aus Nordwesten-Inlandflüge-LBS MH03-1826.tif	0	1	0	1
13319	File:ETH-BIB-Frauenfeld, Weberei Altermatt & Cie.-Inlandflüge-LBS MH03-0258.tif	0	1	0	1
13320	File:ETH-BIB-Frauenfeld, westliches Quartier aus 200 m-Inlandflüge-LBS MH01-007910.tif	0	1	0	1
13321	File:ETH-BIB-Frauenfeld, westliches Quartier aus 300 m-Inlandflüge-LBS MH01-007911.tif	0	1	0	1
13322	File:ETH-BIB-Frauenfeld, Zentrum aus 100 m-Inlandflüge-LBS MH01-004170.tif	0	1	0	1
13323	File:ETH-BIB-Frauenfeld, Zentrum aus 400 m-Inlandflüge-LBS MH01-000634.tif	0	1	0	1
13325	File:ETH-BIB-Frauenfeld, Zuckerfabrik-LBS H1-027437.tif	0	1	0	1
13355	File:ETH-BIB-Freiburg = Fribourg v. S. aus 500 m-Inlandflüge-LBS MH01-000710.tif	0	1	0	1
13370	File:ETH-BIB-Freiburg-Pérolles, Chemische Düngerfabrik-Inlandflüge-LBS MH03-0262.tif	0	1	0	1
13371	File:ETH-BIB-Freiburg-Pérolles, Rollmaterialdepot an der Rue de Marly‘-Inlandflüge-LBS MH03-0263.tif	0	1	0	1
13372	File:ETH-BIB-Freiburg-Pérolles, Rollmaterialdepot an der Rue de Marly‘-Inlandflüge-LBS MH03-0264.tif	0	1	0	1
13356	File:ETH-BIB-Freiburg, Altstadt-Inlandflüge-LBS MH01-000714.tif	0	1	0	1
13357	File:ETH-BIB-Freiburg, Brauerei Cardinal-Inlandflüge-LBS MH03-0265.tif	0	1	0	1
13358	File:ETH-BIB-Freiburg, Brauerei Cardinal-Inlandflüge-LBS MH03-0266.tif	0	1	0	1
13359	File:ETH-BIB-Freiburg, Brauerei Cardinal-Inlandflüge-LBS MH03-0267.tif	0	1	0	1
13360	File:ETH-BIB-Freiburg, Brauerei Cardinal-Inlandflüge-LBS MH03-0268.tif	0	1	0	1
13361	File:ETH-BIB-Freiburg, Brauerei Cardinal-Inlandflüge-LBS MH03-0269.tif	0	1	0	1
13362	File:ETH-BIB-Freiburg, Brauerei Cardinal-Inlandflüge-LBS MH03-0271.tif	0	1	0	1
13363	File:ETH-BIB-Freiburg, Brauerei Cardinal-Inlandflüge-LBS MH03-0272.tif	0	1	0	1
13364	File:ETH-BIB-Freiburg, Brauerei Cardinal-Inlandflüge-LBS MH03-0273.tif	0	1	0	1
13365	File:ETH-BIB-Freiburg, Collegium-Inlandflüge-LBS MH03-0274.tif	0	1	0	1
13366	File:ETH-BIB-Freiburg, Eidg. Zeughaus-Inlandflüge-LBS MH03-0260.tif	0	1	0	1
13367	File:ETH-BIB-Freiburg, Eidg. Zeughaus-Inlandflüge-LBS MH03-0261.tif	0	1	0	1
13373	File:ETH-BIB-Freienbach am Zürichsee aus 300 m-Inlandflüge-LBS MH01-001680.tif	0	1	0	1
13374	File:ETH-BIB-Freienbach am Zürichsee aus 50 m-Inlandflüge-LBS MH01-002108.tif	1	1	0	2
13375	File:ETH-BIB-Freienbach mit Köpfenberge v. N. W. aus 200 m-Inlandflüge-LBS MH01-006540.tif	1	1	0	2
13378	File:ETH-BIB-Freienbach-LBS H1-017064.tif	1	1	0	2
13379	File:ETH-BIB-Freienbach-LBS H1-017065.tif	0	1	0	1
13376	File:ETH-BIB-Freienbach, Bäch-Inlandflüge-LBS MH05-09-31.tif	1	1	0	2
13377	File:ETH-BIB-Freienbach, Villa-Inlandflüge-LBS MH03-1843.tif	0	1	0	1
13385	File:ETH-BIB-Freienstein aus 400 m-Inlandflüge-LBS MH01-004404-AL.tif	0	1	0	1
13386	File:ETH-BIB-Freienstein, Blumer Biedermann, Baumwollspinnerei-Inlandflüge-LBS MH03-0275.tif	0	1	0	1
13387	File:ETH-BIB-Freienstein, Blumer Biedermann, Baumwollspinnerei-Inlandflüge-LBS MH03-0276.tif	0	1	0	1
13388	File:ETH-BIB-Freienstein, Blumer Biedermann, Baumwollspinnerei-Inlandflüge-LBS MH03-0277.tif	0	1	0	1
13389	File:ETH-BIB-Freienstein, Blumer Biedermann, Baumwollspinnerei-Inlandflüge-LBS MH03-0278.tif	0	1	0	1
13390	File:ETH-BIB-Freienstein, Rorbas-LBS H1-011016.tif	0	1	0	1
13391	File:ETH-BIB-Freienstein, Tössegg-LBS H1-015599.tif	0	1	0	1
13392	File:ETH-BIB-Freienstein, Tössegg-LBS H1-015600.tif	0	1	0	1
13393	File:ETH-BIB-Freiheit, Hundstein v. S. aus 3500 m-Inlandflüge-LBS MH01-002480.tif	0	1	0	1
13394	File:ETH-BIB-Freiheit, Roslenfirst, Kreuzberge, Rheintal v. N. W. aus 2400 m-Inlandflüge-LBS MH01-003651.tif	0	1	0	1
13395	File:ETH-BIB-Freiheittürm, Blick nach Südwesten, Säntis-LBS H1-012675.tif	0	1	0	1
13397	File:ETH-BIB-Freising, Isar-Inlandflüge-LBS MH01-006359.tif	0	1	0	1
13398	File:ETH-BIB-Fremdenverkehr vor der Sphinx-Kilimanjaroflug 1929-30-LBS MH02-07-0161.tif	0	1	0	1
13406	File:ETH-BIB-Frenkendorf-Inlandflüge-LBS MH01-004538.tif	0	1	0	1
13407	File:ETH-BIB-Frenkendorf-LBS H1-012889.tif	0	1	0	1
13408	File:ETH-BIB-Frenkendorf-LBS H1-019266.tif	0	1	0	1
13409	File:ETH-BIB-Frenkendorf-LBS H1-019267.tif	0	1	0	1
13399	File:ETH-BIB-Frenkendorf, Ankerbrauerei-LBS H1-027403.tif	1	2	0	3
13401	File:ETH-BIB-Frenkendorf, Füllinsdorf, Pratteln, Kaiseraugst-Inlandflüge-LBS MH01-003291.tif	0	1	0	1
13405	File:ETH-BIB-Frenkendorf, Pratteln, Augst-Inlandflüge-LBS MH01-004785.tif	0	1	0	1
13411	File:ETH-BIB-Frey-Wyssling, Albert (1900-1988)-Portrait-Portr 00095.tif	0	0	1	1
13412	File:ETH-BIB-Fribourg aus 200 m-Inlandflüge-LBS MH01-004484.tif	5	1	0	6
13413	File:ETH-BIB-Fribourg aus 400 m-Inlandflüge-LBS MH01-004665.tif	0	1	0	1
13414	File:ETH-BIB-Fribourg v. N. O. aus 500 m-Inlandflüge-LBS MH01-006004.tif	0	1	0	1
13415	File:ETH-BIB-Fribourg v. S. W. aus 200 m-Inlandflüge-LBS MH01-005118.tif	0	1	0	1
13473	File:ETH-BIB-Fribourg-Inlandflüge-LBS MH01-000711.tif	0	1	0	1
13474	File:ETH-BIB-Fribourg-LBS H1-011687.tif	0	1	0	1
13475	File:ETH-BIB-Fribourg-LBS H1-011691.tif	0	1	0	1
13476	File:ETH-BIB-Fribourg-LBS H1-012388.tif	0	1	0	1
13479	File:ETH-BIB-Fribourg-LBS H1-021202.tif	0	1	0	1
13482	File:ETH-BIB-Fribourg-LBS H1-021205.tif	0	1	0	1
13483	File:ETH-BIB-Fribourg-LBS H1-021206.tif	0	1	0	1
13485	File:ETH-BIB-Fribourg-LBS H1-021208.tif	0	1	0	1
13487	File:ETH-BIB-Fribourg-LBS H1-021389.tif	0	1	0	1
13493	File:ETH-BIB-Fribourg-LBS H1-023464.tif	0	1	0	1
13494	File:ETH-BIB-Fribourg-LBS H1-023465.tif	0	1	0	1
13495	File:ETH-BIB-Fribourg-LBS H1-023466.tif	0	1	0	1
13496	File:ETH-BIB-Fribourg-LBS H1-023467.tif	0	1	0	1
13497	File:ETH-BIB-Fribourg-LBS H1-023476.tif	0	1	0	1
13498	File:ETH-BIB-Fribourg-LBS H1-023477.tif	0	1	0	1
13499	File:ETH-BIB-Fribourg-LBS H1-023478.tif	0	1	0	1
13500	File:ETH-BIB-Fribourg-LBS H1-023479.tif	0	1	0	1
13501	File:ETH-BIB-Fribourg-LBS H1-023480.tif	0	1	0	1
13502	File:ETH-BIB-Fribourg-LBS H1-023481.tif	0	1	0	1
13511	File:ETH-BIB-Fribourg-LBS H1-029390.tif	0	1	0	1
13417	File:ETH-BIB-Fribourg, Altstadt aus 500 m-Inlandflüge-LBS MH01-000107.tif	0	1	0	1
13418	File:ETH-BIB-Fribourg, Altstadt aus 600 m-Inlandflüge-LBS MH01-000713.tif	0	1	0	1
13419	File:ETH-BIB-Fribourg, Altstadt-Inlandflüge-LBS MH01-000722.tif	0	1	0	1
13420	File:ETH-BIB-Fribourg, Altstadt-Inlandflüge-LBS MH01-007179.tif	0	1	0	1
13424	File:ETH-BIB-Fribourg, Chocolat de Villars, Quartier de Pérolles aus 700 m-Inlandflüge-LBS MH01-000716.tif	0	1	0	1
13425	File:ETH-BIB-Fribourg, Cité-LBS H1-011688.tif	0	1	0	1
13426	File:ETH-BIB-Fribourg, Cité-LBS H1-011689.tif	0	1	0	1
13427	File:ETH-BIB-Fribourg, Cité-LBS H1-011690.tif	0	1	0	1
13428	File:ETH-BIB-Fribourg, Cité-LBS H1-011692.tif	0	1	0	1
13429	File:ETH-BIB-Fribourg, Gambach, Place de la Gare aus 500 m-Inlandflüge-LBS MH01-002159.tif	0	1	0	1
13433	File:ETH-BIB-Fribourg, Grand, Pérolles-Viadukt-Inlandflüge-LBS MH01-001774.tif	0	1	0	1
13445	File:ETH-BIB-Fribourg, Kathedrale aus 400 m-Inlandflüge-LBS MH01-000718.tif	0	1	0	1
13446	File:ETH-BIB-Fribourg, Kathedrale, Pont Suspendu aus 400 m-Inlandflüge-LBS MH01-000715.tif	0	1	0	1
13451	File:ETH-BIB-Fribourg, Pérolles, Viadukt-Inlandflüge-LBS MH01-005126.tif	0	1	0	1
13458	File:ETH-BIB-Fribourg, Sanebrücken aus 500 m-Inlandflüge-LBS MH01-007918.tif	0	1	0	1
13459	File:ETH-BIB-Fribourg, Sarine-Schlaufe-Inlandflüge-LBS MH01-000712.tif	0	1	0	1
13461	File:ETH-BIB-Fribourg, Tour-Henri-Inlandflüge-LBS MH01-007178.tif	0	1	0	1
13470	File:ETH-BIB-Fribourg, Übersicht v. S. aus 500 m-Inlandflüge-LBS MH01-002158.tif	0	1	0	1
13471	File:ETH-BIB-Fribourg, Übersicht, Lac de Pérolles v. S. aus 500 m-Inlandflüge-LBS MH01-002156.tif	0	1	0	1
13462	File:ETH-BIB-Fribourg, Universität-LBS H1-011693.tif	0	1	0	1
13467	File:ETH-BIB-Fribourg, Zentrum aus 300 m-Inlandflüge-LBS MH01-002154.tif	0	1	0	1
13468	File:ETH-BIB-Fribourg, Zentrum aus 300 m-Inlandflüge-LBS MH01-002155.tif	0	1	0	1
13469	File:ETH-BIB-Fribourg, Zeughaus-LBS H1-013943.tif	0	1	0	1
13512	File:ETH-BIB-Frick im Aargauer Jura aus 300 m-Inlandflüge-LBS MH01-004373.tif	0	1	0	1
13521	File:ETH-BIB-Frick-Inlandflüge-LBS MH01-004372.tif	0	1	0	1
13522	File:ETH-BIB-Frick-LBS H1-010482.tif	0	1	0	1
13524	File:ETH-BIB-Frick-LBS H1-010484.tif	0	1	0	1
13525	File:ETH-BIB-Frick-LBS H1-013828.tif	0	1	0	1
13526	File:ETH-BIB-Frick-LBS H1-013829.tif	0	1	0	1
13527	File:ETH-BIB-Frick-LBS H1-016122.tif	0	1	0	1
13528	File:ETH-BIB-Frick-LBS H1-016123.tif	0	1	0	1
13531	File:ETH-BIB-Frick-LBS H1-021799.tif	0	1	0	1
13532	File:ETH-BIB-Frick-LBS H1-021800.tif	0	1	0	1
13533	File:ETH-BIB-Frick-LBS H1-022711.tif	0	1	0	1
13513	File:ETH-BIB-Frick, Detail, Oeschgen-Inlandflüge-LBS MH01-003120.tif	0	1	0	1
13514	File:ETH-BIB-Frick, Gipf-Oberfrick v. N. O. aus 600 m-Inlandflüge-LBS MH01-003525.tif	0	1	0	1
13517	File:ETH-BIB-Frick, Ziegelei-Inlandflüge-LBS MH03-0279.tif	0	1	0	1
13518	File:ETH-BIB-Frick, Ziegelei-Inlandflüge-LBS MH03-0280.tif	0	1	0	1
13519	File:ETH-BIB-Frick, Ziegelei-Inlandflüge-LBS MH03-0281.tif	0	1	0	1
13520	File:ETH-BIB-Frick, Ziegelei-Inlandflüge-LBS MH03-0282.tif	0	1	0	1
13539	File:ETH-BIB-Fricktal, blühende Bäume-LBS H1-016120.tif	0	1	0	1
13540	File:ETH-BIB-Fricktal, blühende Bäume-LBS H1-016121.tif	0	1	0	1
13541	File:ETH-BIB-Fricktal, Übersicht-LBS H1-013277.tif	0	1	0	1
13543	File:ETH-BIB-Friedhof in der Wüste-Tschadseeflug 1930-31-LBS MH02-08-1048.tif	1	0	0	1
51055	File:ETH-BIB-Friedhof von Teheran-Persienflug 1924-1925-LBS MH02-02-0098-AL-FL.tif	0	1	0	1
51056	File:ETH-BIB-Friedhof von Teheran-Persienflug 1924-1925-LBS MH02-02-0228-AL-FL.tif	1	1	0	2
51057	File:ETH-BIB-Friedlingen bei Weil am Rhein-Inlandflüge-LBS MH03-1101.tif	1	1	0	2
51058	File:ETH-BIB-Friedlisberg AG-Inlandflüge-LBS MH01-006769.tif	0	1	0	1
51061	File:ETH-BIB-Friedlisberg-LBS H1-009877.tif	0	1	0	1
51065	File:ETH-BIB-Friedrichshafen, Deutschland-Inlandflüge-LBS MH01-003970.tif	0	1	0	1
51066	File:ETH-BIB-Friedrichshafen, Deutschland-LBS H1-019296.tif	0	1	0	1
51069	File:ETH-BIB-Friedrichshafen, Übersicht, Zeppelinhallen-Inlandflüge-LBS MH01-003969.tif	0	1	0	1
51067	File:ETH-BIB-Friedrichshafen, Zeppelinhallen-Inlandflüge-LBS MH01-003968.tif	0	1	0	1
51068	File:ETH-BIB-Friedrichshafen, Zeppelinhallen-Inlandflüge-LBS MH01-006362.tif	0	1	0	1
51071	File:ETH-BIB-Friesenberg, Schmidigen, Oeschenbach, Bleuen, Hofen, Kappelen, Ursenbachberg v. W. aus 3000 m-Inlandflüge-LBS MH01-003238.tif	0	1	0	1
51073	File:ETH-BIB-Frl. Nelly Diener am Eingang der Curtiss AT-32C Condor, CH-170 in Dübendorf-Inlandflüge-LBS MH05-44-32.tif	0	1	0	1
51074	File:ETH-BIB-Frl. Nelly Diener am Eingang der Curtiss AT-32C Condor, CH-170 in Dübendorf-Inlandflüge-LBS MH05-44-33.tif	0	1	0	1
51075	File:ETH-BIB-Frl. Nelly Diener in der Galley der Curtiss AT-32C Condor, CH-170 in Dübendorf-Inlandflüge-LBS MH05-44-28.tif	1	1	0	2
51076	File:ETH-BIB-Frl. Nelly Diener in der Galley der Curtiss AT-32C Condor, CH-170 in Dübendorf-Inlandflüge-LBS MH05-44-29.tif	0	1	0	1
51077	File:ETH-BIB-Frl. Nelly Diener in der Galley der Curtiss AT-32C Condor, CH-170 in Dübendorf-Inlandflüge-LBS MH05-44-30.tif	1	1	0	2
51078	File:ETH-BIB-Frl. Nelly Diener in der Galley der Curtiss AT-32C Condor, CH-170 in Dübendorf-Inlandflüge-LBS MH05-44-31.tif	0	1	0	1
51079	File:ETH-BIB-Frl. Nelly Diener in der Kabine der General Aviation Clark GA-43, CH-169 in Dübendorf-Inlandflüge-LBS MH05-44-05.tif	0	1	0	1
51080	File:ETH-BIB-Frl. Nelly Diener mit Passagieren in der Kabine der Curtiss AT-32C Condor, CH-170 in Dübendorf-Inlandflüge-LBS MH05-44-17.tif	0	1	0	1
51081	File:ETH-BIB-Frl. Nelly Diener mit Passagieren in der Kabine der Curtiss AT-32C Condor, CH-170 in Dübendorf-Inlandflüge-LBS MH05-44-19.tif	0	1	0	1
51082	File:ETH-BIB-Frl. Nelly Diener mit Passagieren in der Kabine der Curtiss AT-32C Condor, CH-170 in Dübendorf-Inlandflüge-LBS MH05-44-20.tif	0	1	0	1
51083	File:ETH-BIB-Frl. Nelly Diener mit Passagieren in der Kabine der Curtiss AT-32C Condor, CH-170 in Dübendorf-Inlandflüge-LBS MH05-44-21.tif	0	1	0	1
51084	File:ETH-BIB-Frl. Nelly Diener mit Passagieren in der Kabine der Curtiss AT-32C Condor, CH-170 in Dübendorf-Inlandflüge-LBS MH05-44-22.tif	0	1	0	1
51085	File:ETH-BIB-Frl. Nelly Diener mit Passagieren in der Kabine der Curtiss AT-32C Condor, CH-170 in Dübendorf-Inlandflüge-LBS MH05-44-23.tif	0	1	0	1
51086	File:ETH-BIB-Frl. Nelly Diener mit Passagieren in der Kabine der Curtiss AT-32C Condor, CH-170 in Dübendorf-Inlandflüge-LBS MH05-44-24.tif	0	1	0	1
13545	File:ETH-BIB-Frl. Nelly Diener mit Passagieren in der Kabine der Curtiss AT-32C Condor, CH-170 in Dübendorf-Inlandflüge-LBS MH05-44-26.tif	0	1	0	1
13546	File:ETH-BIB-Frl. Nelly Diener mit Passagieren in der Kabine der Curtiss AT-32C Condor, CH-170 in Dübendorf-Inlandflüge-LBS MH05-44-27.tif	0	1	0	1
13547	File:ETH-BIB-Frl. Nelly Diener mit Passagieren in der Kabine der General Aviation Clark GA-43, CH-169 in Dübendorf-Inlandflüge-LBS MH05-44-06.tif	0	1	0	1
13548	File:ETH-BIB-Frl. Nelly Diener mit Passagieren in der Kabine der General Aviation Clark GA-43, CH-169 in Dübendorf-Inlandflüge-LBS MH05-44-07.tif	0	1	0	1
13549	File:ETH-BIB-Frl. Nelly Diener mit Passagieren in der Kabine der General Aviation Clark GA-43, CH-169 in Dübendorf-Inlandflüge-LBS MH05-44-08.tif	0	1	0	1
13550	File:ETH-BIB-Frl. Nelly Diener mit Passagieren in der Kabine der General Aviation Clark GA-43, CH-169 in Dübendorf-Inlandflüge-LBS MH05-44-09.tif	0	1	0	1
13551	File:ETH-BIB-Frl. Nelly Diener mit Passagieren in der Kabine der General Aviation Clark GA-43, CH-169 in Dübendorf-Inlandflüge-LBS MH05-44-10.tif	0	1	0	1
13552	File:ETH-BIB-Frl. Nelly Diener mit Passagieren in der Kabine der General Aviation Clark GA-43, CH-169 in Dübendorf-Inlandflüge-LBS MH05-44-11.tif	0	1	0	1
13553	File:ETH-BIB-Frl. Nelly Diener mit Passagieren in der Kabine der General Aviation Clark GA-43, CH-169 in Dübendorf-Inlandflüge-LBS MH05-44-12.tif	0	1	0	1
13554	File:ETH-BIB-Frl. Nelly Diener mit Passagieren in der Kabine der General Aviation Clark GA-43, CH-169 in Dübendorf-Inlandflüge-LBS MH05-44-13.tif	0	1	0	1
13555	File:ETH-BIB-Frl. Nelly Diener mit Passagieren in der Kabine der General Aviation Clark GA-43, CH-169 in Dübendorf-Inlandflüge-LBS MH05-44-14.tif	0	1	0	1
13556	File:ETH-BIB-Frl. Nelly Diener mit Passagieren in der Kabine der General Aviation Clark GA-43, CH-169 in Dübendorf-Inlandflüge-LBS MH05-44-15.tif	0	1	0	1
13557	File:ETH-BIB-Frl. Nelly Diener mit Passagieren in der Kabine der General Aviation Clark GA-43, CH-169 in Dübendorf-Inlandflüge-LBS MH05-44-16.tif	0	1	0	1
13558	File:ETH-BIB-Frl. Nelly Diener und Hagedorn vor der General Aviation Clark GA-43, CH-169 in Dübendorf-Inlandflüge-LBS MH05-44-02.tif	0	1	0	1
13559	File:ETH-BIB-Frl. Nelly Diener und Hagedorn vor der General Aviation Clark GA-43, CH-169 in Dübendorf-Inlandflüge-LBS MH05-44-03.tif	0	1	0	1
13560	File:ETH-BIB-Frl. Nelly Diener vor der General Aviation Clark GA-43, CH-169 in Dübendorf-Inlandflüge-LBS MH05-44-04.tif	0	1	0	1
13563	File:ETH-BIB-Frohnalpstock, Klöntal, Glärnisch, Wiggis v. N. O. aus 3200 m-Inlandflüge-LBS MH01-000354.tif	1	1	0	2
13574	File:ETH-BIB-Fronalpstock-Kette, Mürtschenstock, Churfirsten v. S. aus 3000 m-Inlandflüge-LBS MH01-000135.tif	0	1	0	1
13567	File:ETH-BIB-Fronalpstock, Mythen, Riemenstaldertal v. S. aus 2800 m-Inlandflüge-LBS MH01-001339.tif	0	1	0	1
13568	File:ETH-BIB-Fronalpstock, Naturfeundehaus-LBS H1-010957.tif	0	1	0	1
13569	File:ETH-BIB-Fronalpstock, Neuenkamm, Weesen, Plattenalp, Thalalpsee aus 3000 m-Inlandflüge-LBS MH01-000134.tif	0	1	0	1
13570	File:ETH-BIB-Fronalpstock, Rigi-Inlandflüge-LBS MH05-01-07.tif	0	1	0	1
13571	File:ETH-BIB-Fronalpstock, Rigi-Inlandflüge-LBS MH05-01-08.tif	0	1	0	1
13572	File:ETH-BIB-Fronalpstock, Rigi-Inlandflüge-LBS MH05-01-09.tif	0	1	0	1
13583	File:ETH-BIB-Früetobel, Stralegg, Warten, Bärloch, Hinteres Tösstal-Inlandflüge-LBS MH01-002497.tif	0	1	0	1
13584	File:ETH-BIB-Früh, Johann Jakob (1852-1938)-Portrait-Portr 02884.jpg	0	1	0	1
13585	File:ETH-BIB-Früh, Johann Jakob (1852-1938)-Portrait-Portr 02884.tif	0	2	0	2
13586	File:ETH-BIB-Früh, Johann Jakob (1852-1938)-Portrait-Portr 02884.tif (cropped).jpg	0	2	0	2
13587	File:ETH-BIB-Frümsel, Brisi, Frümseltal Seeztal v. N. W. aus 2400 m-Inlandflüge-LBS MH01-002305.tif	3	2	1	6
13576	File:ETH-BIB-Frutigen, Frutigtal, Kandertal, Adelboden-Inlandflüge-LBS MH01-001265.tif	0	1	0	1
13590	File:ETH-BIB-Ftan, Scuol-LBS H1-010231.tif	0	1	0	1
13597	File:ETH-BIB-Fuederegg, Unteriberg-LBS H1-027887.tif	0	1	0	1
13599	File:ETH-BIB-Fulen, Reusstal, Gitschenstock v. N. W. aus 3600 m-Inlandflüge-LBS MH01-002391.tif	0	1	0	1
13600	File:ETH-BIB-Fulenbach neben Murgenthal aus 300 m-Inlandflüge-LBS MH01-002996.tif	0	1	0	1
13602	File:ETH-BIB-Fulenbach-LBS H1-028836.tif	1	1	0	2
13606	File:ETH-BIB-Full-Reuenthal, Kontaktanlage zur Herstellung von Schwefelsäure, Werk der Chemischen Fabrik in Uetikon (CFU)-LBS H1-018453.tif	0	1	0	1
13604	File:ETH-BIB-Full, Waldshut-LBS H1-015080.tif	0	1	0	1
13605	File:ETH-BIB-Full, Waldshut-LBS H1-015081.tif	0	1	0	1
13750	File:ETH-BIB-Füllinsdorf aus 400 m-Inlandflüge-LBS MH01-004369.tif	0	1	0	1
13753	File:ETH-BIB-Füllinsdorf-LBS H1-011156.tif	0	1	0	1
13751	File:ETH-BIB-Füllinsdorf, Frenkendorf, Pratteln-LBS H1-012890.tif	0	1	0	1
13752	File:ETH-BIB-Füllinsdorf, Industrieanlage Niederschöntal, Florettspinnerei Ringwald AG-Inlandflüge-LBS MH03-1621.tif	0	1	0	1
13609	File:ETH-BIB-Fully-LBS H1-011375.tif	0	1	0	1
13610	File:ETH-BIB-Fully-LBS H1-011376.tif	0	1	0	1
13611	File:ETH-BIB-Fully-LBS H1-012292.tif	0	1	0	1
13607	File:ETH-BIB-Fully, Rhônetal-LBS H1-019108.tif	0	1	0	1
13608	File:ETH-BIB-Fully, Rhônetal-LBS H1-019109.tif	0	1	0	1
13757	File:ETH-BIB-Fünffingerstöck, Meiental v. N. W. aus 3200 m-Inlandflüge-LBS MH01-006241.tif	0	1	0	1
13754	File:ETH-BIB-Fünffingerstock, Sustenhorn, Gwächtenhorn v. N. O. aus 3300 m-Inlandflüge-LBS MH01-004706.tif	0	1	0	1
13758	File:ETH-BIB-Fünffingerstöck, Wendengletscher, Titlis v. S. W. aus 4000 m-Inlandflüge-LBS MH01-002442.tif	0	1	0	1
13759	File:ETH-BIB-Fünffingerstöcke v. N. aus 3500 m-Inlandflüge-LBS MH01-000950.tif	0	1	0	1
13761	File:ETH-BIB-Fünffingerstöcke, Glärnisch-LBS H1-019150.tif	0	1	0	1
13762	File:ETH-BIB-Fünffingerstöcke, Tödi-LBS H1-019149.tif	0	1	0	1
13612	File:ETH-BIB-Funkstation (alte Walfangstation) von Green Harbour-Spitzbergenflug 1923-LBS MH02-01-0054.tif	0	1	0	1
13616	File:ETH-BIB-Furggelenstock, Mythen, Rotenflue, Fronalpstock, Schienberg, Berneralpen aus 2500 m-Inlandflüge-LBS MH01-003057.tif	2	1	0	3
13617	File:ETH-BIB-Furgghorn, Zinalrothorn, General Milch-Inlandflüge-LBS MH05-61-13.tif	0	1	0	1
13618	File:ETH-BIB-Furgghorn, Zinalrothorn, General Milch-Inlandflüge-LBS MH05-61-23.tif	0	1	0	1
13619	File:ETH-BIB-Furgglengrat, Hoher Kasten, Rheintal v. S. W. aus 3500 m-Inlandflüge-LBS MH01-002481.tif	0	1	0	1
13771	File:ETH-BIB-Fürigen-LBS H1-024430.tif	0	1	0	1
13765	File:ETH-BIB-Fürigen, Fürigen-Bahn-LBS H1-010593.tif	0	1	0	1
13763	File:ETH-BIB-Fürigen, Fürigen-Bahn, Hotel Fürigen-LBS H1-013220.tif	0	1	0	1
13768	File:ETH-BIB-Fürigen, Hotel Fürigen-LBS H1-013221.tif	0	1	0	1
13769	File:ETH-BIB-Fürigen, Hotel Fürigen-LBS H1-014137.tif	0	1	0	1
13770	File:ETH-BIB-Fürigen, Kurhaus-Inlandflüge-LBS MH03-0283.tif	0	1	0	1
13620	File:ETH-BIB-Furka, Furkahorn, Grimsel, Berneralpen v. O. aus 3800 m-Inlandflüge-LBS MH01-005647.tif	0	1	0	1
13621	File:ETH-BIB-Furka, Grimsel, Berneralpen v. O. aus 3800 m-Inlandflüge-LBS MH01-005648.tif	0	1	0	1
13623	File:ETH-BIB-Furka, Muttenhörner, Blindenhorn, Ofenhorn, Rhonetal, Walliseralpen v. N. O. aus 3600 m-Inlandflüge-LBS MH01-005644.tif	0	1	0	1
13624	File:ETH-BIB-Furka, Oberalp, Urserental-LBS H1-018888.tif	0	1	0	1
13625	File:ETH-BIB-Furka, Reusstal gegen Realp-LBS H1-023875.tif	0	1	0	1
13626	File:ETH-BIB-Furka, Urserental, Gotthard-LBS H1-018889.tif	0	1	0	1
13627	File:ETH-BIB-Furkapass, Blick nach Südosten, Urseren-LBS H1-027304.tif	0	1	0	1
13629	File:ETH-BIB-Furkapass, Nägelisgrätli, Gerstenhörner-Inlandflüge-LBS MH01-002415.tif	0	1	0	1
13630	File:ETH-BIB-Furkapasshöhe (unten), in der Mitte die Grimselstrasse an der Meierwand, Finsteraarhorn v. O. aus 3800 m-Inlandflüge-LBS MH01-002416.tif	0	1	0	1
13632	File:ETH-BIB-Furkastrasse, Siedelenhorn, Galenstock, Bielenstöcke, Dammstock v. S. aus 3800 m-Inlandflüge-LBS MH01-002418.tif	0	1	0	1
13772	File:ETH-BIB-Fürstenfeldbruck-Inlandflüge-LBS MH01-003986.tif	0	1	0	1
13773	File:ETH-BIB-Fürstenfeldbruck-Inlandflüge-LBS MH01-003987.tif	0	1	0	1
13633	File:ETH-BIB-Furthal-LBS H1-025567.tif	0	1	0	1
13638	File:ETH-BIB-Furttal mit Alpen-LBS H1-014406.tif	0	1	0	1
13639	File:ETH-BIB-Furttal mit Alpen-LBS H1-014407.tif	0	1	0	1
13640	File:ETH-BIB-Furttal-LBS H1-024369.tif	0	1	0	1
13644	File:ETH-BIB-Furtthal-LBS H1-025573A.tif	0	1	0	1
13646	File:ETH-BIB-Fuschlsee bei Salzburg-LBS H1-020344.tif	0	1	0	1
13647	File:ETH-BIB-Fuschlsee bei Salzburg-LBS H1-020345.tif	0	1	0	1
