id	fle	w	c	o	tot
95	File:ETH-BIB - französische Flugzeuge am Kap Juby - Tschadseeflug 1930-31-LBS MH02-08-1076.tiff	0	3	0	3
125	File:ETH-BIB--.tif	0	1	0	1
128	File:ETH-BIB--Inlandflüge-.tif	0	1	0	1
129	File:ETH-BIB--Inlandflüge-LBS MH03-1559.tif	0	1	1	2
132	File:ETH-BIB--Kilimanjaroflug 1929-30-.tif	0	1	0	1
134	File:ETH-BIB--Persienflug 1924-1925-.tif	0	3	0	3
135	File:ETH-BIB--Portrait-.tif	0	2	0	2
104	File:ETH-BIB-"Milieu du monde", La Sarraz von Nordost-Dia 247-12813.tif	2	0	0	2
113	File:ETH-BIB-"Viceroy of India", oberstes Deck von hinten-Dia 247-07585.tif	1	0	0	1
124	File:ETH-BIB-(B-747-300-SUD) Buchs (Zürich) aus 500 m-Inlandflüge-LBS MH01-002881.tif	0	1	0	1
144	File:ETH-BIB-A 20 auf Flugplatz von Buschehr-Persienflug 1924-1925-LBS MH02-02-0207-AL-FL.tif	0	20	0	20
145	File:ETH-BIB-A 20 auf Flugplatz von Buschehr-Persienflug 1924-1925-LBS MH02-02-0208-AL-FL.tif	1	2	0	3
148	File:ETH-BIB-Aach-Quelltopf-Dia 247-00727.tif	2	0	0	2
149	File:ETH-BIB-Aadorf v. O. aus 500 m-Inlandflüge-LBS MH01-005727.tif	0	1	0	1
150	File:ETH-BIB-Aadorf v. S. O. aus 300 m-Inlandflüge-LBS MH01-002608.tif	0	1	0	1
151	File:ETH-BIB-Aadorf v. S. O. aus 500 m-Inlandflüge-LBS MH01-005726.tif	0	1	0	1
152	File:ETH-BIB-Aadorf v. S. O.-Inlandflüge-LBS MH01-006728.tif	0	1	0	1
153	File:ETH-BIB-Aadorf v. W. aus 600 m-Inlandflüge-LBS MH01-001931.tif	0	1	0	1
154	File:ETH-BIB-Aadorf v. W. aus 600 m-Inlandflüge-LBS MH01-001932.tif	0	1	0	1
169	File:ETH-BIB-Aadorf-LBS H1-013118.tif	0	1	0	1
170	File:ETH-BIB-Aadorf-LBS H1-013119.tif	0	1	0	1
171	File:ETH-BIB-Aadorf-LBS H1-013120.tif	0	1	0	1
172	File:ETH-BIB-Aadorf-LBS H1-013121.tif	0	1	0	1
173	File:ETH-BIB-Aadorf-LBS H1-014042.tif	0	1	0	1
174	File:ETH-BIB-Aadorf-LBS H1-018488.tif	0	1	0	1
175	File:ETH-BIB-Aadorf-LBS H1-020094.tif	1	2	0	3
176	File:ETH-BIB-Aadorf-LBS H1-023391.tif	0	1	0	1
178	File:ETH-BIB-Aadorf-LBS H1-028252.tif	0	1	0	1
179	File:ETH-BIB-Aadorf-LBS H1-028253.tif	0	1	0	1
155	File:ETH-BIB-Aadorf, Feld mit Garbenbündel-LBS H1-014043.tif	0	1	0	1
156	File:ETH-BIB-Aadorf, Feld mit Garbenbündel-LBS H1-014044.tif	0	1	0	1
157	File:ETH-BIB-Aadorf, Feld mit Garbenbündel-LBS H1-014045.tif	0	1	0	1
161	File:ETH-BIB-Aadorf, Holzgeschäft Bachmann-Inlandflüge-LBS MH03-0001.tif	0	1	0	1
162	File:ETH-BIB-Aadorf, Kistenfabrik AG-Inlandflüge-LBS MH03-0002.tif	0	1	0	1
163	File:ETH-BIB-Aadorf, Kistenfabrik AG-Inlandflüge-LBS MH03-0003.tif	0	1	0	1
164	File:ETH-BIB-Aadorf, Rolladenfabrik Griesser-Inlandflüge-LBS MH03-0004.tif	0	1	0	1
165	File:ETH-BIB-Aadorf, Rolladenfabrik Griesser-Inlandflüge-LBS MH03-0005.tif	0	1	0	1
166	File:ETH-BIB-Aadorf, Rolladenfabrik Griesser-Inlandflüge-LBS MH03-0006.tif	0	1	0	1
167	File:ETH-BIB-Aadorf, Rolladenfabrik Griesser-Inlandflüge-LBS MH03-0007.tif	0	1	0	1
185	File:ETH-BIB-Aarau aus 400 m-Inlandflüge-LBS MH01-000509.tif	0	1	0	1
189	File:ETH-BIB-Aarau mit Stadthaus-Inlandflüge-LBS MH01-000115.tif	0	1	0	1
190	File:ETH-BIB-Aarau v. S. O. aus 500 m-Inlandflüge-LBS MH01-006041.tif	0	1	0	1
191	File:ETH-BIB-Aarau v. S. O. aus 600 m-Inlandflüge-LBS MH01-006040.tif	0	1	0	1
259	File:ETH-BIB-Aarau-Inlandflüge-LBS MH01-000114.tif	0	1	0	1
260	File:ETH-BIB-Aarau-Inlandflüge-LBS MH01-000440.tif	0	1	0	1
261	File:ETH-BIB-Aarau-Inlandflüge-LBS MH01-008293.tif	0	1	0	1
262	File:ETH-BIB-Aarau-Inlandflüge-LBS MH03-1652.tif	0	1	0	1
265	File:ETH-BIB-Aarau-LBS H1-011206.tif	0	1	0	1
266	File:ETH-BIB-Aarau-LBS H1-013330.tif	0	1	0	1
267	File:ETH-BIB-Aarau-LBS H1-015981.tif	0	1	0	1
281	File:ETH-BIB-Aarau-LBS H1-028820.tif	0	1	0	1
283	File:ETH-BIB-Aarau-Torfeld, Oehler & Cie. AG, Maschinenfabrik & Eisengiesserei-Inlandflüge-LBS MH03-1604.tif	0	1	0	1
