page	p1	p2	media_pv	file_per_page	page_type
/wiki/User:OgreBot/Uploads_by_new_users/2017_July_31_13:30	User:OgreBot/Uploads_by_new_users/2017_July_31_13:30	User:OgreBot/Uploads by new users/2017 July 31 13:30	14.58333333	1	user_page
/wiki/Commons:WikiProject_Aviation/recent_uploads/2018_April_8	Commons:WikiProject_Aviation/recent_uploads/2018_April_8	Commons:WikiProject Aviation/recent uploads/2018 April 8	14.33333333	2	wikiproject
/wiki/User:OgreBot/Uploads_by_new_users/2017_March_24_16:30	User:OgreBot/Uploads_by_new_users/2017_March_24_16:30	User:OgreBot/Uploads by new users/2017 March 24 16:30	14	1	user_page
/wiki/User:OgreBot/Uploads_by_new_users/2017_October_25_16:30	User:OgreBot/Uploads_by_new_users/2017_October_25_16:30	User:OgreBot/Uploads by new users/2017 October 25 16:30	14	1	user_page
/wiki/File:Mitholz_Explosion_1.jpg	File:Mitholz_Explosion_1.jpg	File:Mitholz Explosion 1.jpg	13.90909091	1	file
/wiki/Commons:WikiProject_Aviation/recent_uploads/2018_February_7	Commons:WikiProject_Aviation/recent_uploads/2018_February_7	Commons:WikiProject Aviation/recent uploads/2018 February 7	13.8	2	wikiproject
/wiki/Commons:WikiProject_Aviation/recent_uploads/2018_January_25	Commons:WikiProject_Aviation/recent_uploads/2018_January_25	Commons:WikiProject Aviation/recent uploads/2018 January 25	13.66666667	3	wikiproject
/wiki/Commons:WikiProject_Aviation/recent_uploads/2018_January_20	Commons:WikiProject_Aviation/recent_uploads/2018_January_20	Commons:WikiProject Aviation/recent uploads/2018 January 20	13.66666667	31	wikiproject
/wiki/User:OgreBot/Uploads_by_new_users/2017_March_08_21:00	User:OgreBot/Uploads_by_new_users/2017_March_08_21:00	User:OgreBot/Uploads by new users/2017 March 08 21:00	13.5625	1	user_page
/wiki/Commons:WikiProject_Aviation/recent_uploads/2017_October_25	Commons:WikiProject_Aviation/recent_uploads/2017_October_25	Commons:WikiProject Aviation/recent uploads/2017 October 25	13.55555556	1	wikiproject
