27	ETH-BIB-Steckborn_v._S._aus_200_m-Inlandflüge-LBS_MH01-001836.tif	Commons:WikiProject Aviation/recent uploads/2016 December 15/Overflow 1	Sémhur	2017-02-23T17:29:48Z
28	ETH-BIB-Bremgarten_an_der_Reuss-Inlandflüge-LBS_MH01-000231-01.tif	Commons:WikiProject Aviation/recent uploads/2016 December 15	Jasonanaggie	2017-01-08T14:15:24Z
29	ETH-BIB-Berlingen,_Untersee_aus_100_m-Inlandflüge-LBS_MH01-001871.tif	Commons:WikiProject Aviation/recent uploads/2016 December 15/Overflow 1	Sémhur	2017-02-23T17:29:48Z
30	ETH-BIB-Bürglen_(Thurgau)_aus_500_m-Inlandflüge-LBS_MH01-000548.tif	Commons:WikiProject Aviation/recent uploads/2016 December 15	Jasonanaggie	2017-01-08T14:15:24Z
31	ETH-BIB-Bürglen_(Thurgau)_v._S._aus_500_m-Inlandflüge-LBS_MH01-000641.tif	Commons:WikiProject Aviation/recent uploads/2016 December 15	Jasonanaggie	2017-01-08T14:15:24Z
32	ETH-BIB-Bürglen_(Thurgau)_v._S._O._aus_600_m-Inlandflüge-LBS_MH01-000642.tif	Commons:WikiProject Aviation/recent uploads/2016 December 15	Jasonanaggie	2017-01-08T14:15:24Z
33	ETH-BIB-Ermatingen,_Stad_aus_100_m-Inlandflüge-LBS_MH01-001866.tif	Commons:WikiProject Aviation/recent uploads/2016 December 15/Overflow 1	Sémhur	2017-02-23T17:29:48Z
34	ETH-BIB-Gottlieben,_Untersee_aus_100_m-Inlandflüge-LBS_MH01-001881.tif	Commons:WikiProject Aviation/recent uploads/2016 December 15/Overflow 1	Sémhur	2017-02-23T17:29:48Z
35	ETH-BIB-Mammern_v._O._aus_100_m-Inlandflüge-LBS_MH01-001837.tif	Commons:WikiProject Aviation/recent uploads/2016 December 15/Overflow 1	Sémhur	2017-02-23T17:29:48Z
36	ETH-BIB-Mammern_aus_100_m-Inlandflüge-LBS_MH01-001838.tif	Commons:WikiProject Aviation/recent uploads/2016 December 15/Overflow 1	Sémhur	2017-02-23T17:29:48Z
37	ETH-BIB-Rickenbach_bei_Wil_v._O._aus_300_m-Inlandflüge-LBS_MH01-001924.tif	Commons:WikiProject Aviation/recent uploads/2016 December 15/Overflow 1	Sémhur	2017-02-23T17:29:48Z
38	ETH-BIB-Mammern_am_Untersee_aus_100_m-Inlandflüge-LBS_MH01-001852.tif	Commons:WikiProject Aviation/recent uploads/2016 December 15/Overflow 1	Sémhur	2017-02-23T17:29:48Z
39	ETH-BIB-Weinfelden,_Bahnhof_v._S._aus_300_m-Inlandflüge-LBS_MH01-000636.tif	Commons:WikiProject Aviation/recent uploads/2016 December 15	Jasonanaggie	2017-01-08T14:15:24Z
40	ETH-BIB-Weinfelden_v._S._O._aus_600_m-Inlandflüge-LBS_MH01-000640.tif	Commons:WikiProject Aviation/recent uploads/2016 December 15	Jasonanaggie	2017-01-08T14:15:24Z
41	ETH-BIB-Weinfelden_v._S._O._aus_500_m-Inlandflüge-LBS_MH01-000638.tif	Commons:WikiProject Aviation/recent uploads/2016 December 15	Jasonanaggie	2017-01-08T14:15:24Z
42	ETH-BIB-Weinfelden_v._S._aus_300_m-Inlandflüge-LBS_MH01-000639.tif	Commons:WikiProject Aviation/recent uploads/2016 December 15	Jasonanaggie	2017-01-08T14:15:24Z
43	ETH-BIB-Weinfelden_v._S._aus_400_m-Inlandflüge-LBS_MH01-000637.tif	Commons:WikiProject Aviation/recent uploads/2016 December 15	Jasonanaggie	2017-01-08T14:15:24Z
44	ETH-BIB-Bischofszell_v._S._W._aus_800_m-Inlandflüge-LBS_MH01-000650.tif	Commons:WikiProject Aviation/recent uploads/2016 December 15	Jasonanaggie	2017-01-08T14:15:24Z
45	ETH-BIB-Bischofszell_v._W._aus_500_m-Inlandflüge-LBS_MH01-000613.tif	Commons:WikiProject Aviation/recent uploads/2016 December 15	Jasonanaggie	2017-01-08T14:15:24Z
46	ETH-BIB-Mannenbach-Salenstein_am_Untersee_aus_200_m-Inlandflüge-LBS_MH01-001869.tif	Commons:WikiProject Aviation/recent uploads/2016 December 15/Overflow 1	Sémhur	2017-02-23T17:29:48Z
47	ETH-BIB-Lugano,_Zentrum_aus_50_m-Inlandflüge-LBS_MH01-001989.tif	Commons:WikiProject Aviation/recent uploads/2016 December 15/Overflow 1	Sémhur	2017-02-23T17:29:48Z
48	ETH-BIB-Thun,_Übersicht_mit_Flugzeug_v._S._O._aus_300_m-Inlandflüge-LBS_MH01-001184.tif	Commons:WikiProject Aviation/recent uploads/2016 December 15/Overflow 1	Sémhur	2017-02-23T17:29:48Z
49	ETH-BIB-Wattwil_aus_200_m-Inlandflüge-LBS_MH01-001915.tif	Commons:WikiProject Aviation/recent uploads/2016 December 15/Overflow 1	Sémhur	2017-02-23T17:29:48Z
50	ETH-BIB-Yverdon_v._N._W.-Inlandflüge-LBS_MH01-000781.tif	Commons:WikiProject Aviation/recent uploads/2016 December 15	Jasonanaggie	2017-01-08T14:15:24Z
51	ETH-BIB-Arbon,_Fabrikquartier_aus_50_m-Inlandflüge-LBS_MH01-002321.tif	Commons:WikiProject Aviation/recent uploads/2016 December 22	Jo-Jo Eumerus	2017-05-07T12:02:15Z
52	ETH-BIB-Arbon,_Fabrikquartier_aus_50_m-Inlandflüge-LBS_MH01-002322.tif	Commons:WikiProject Aviation/recent uploads/2016 December 22	Jo-Jo Eumerus	2017-05-07T12:02:15Z
53	ETH-BIB-Zug,_Bundesplatz,_nördlicher_Teil_aus_300_m-Inlandflüge-LBS_MH01-002245.tif	Commons:WikiProject Aviation/recent uploads/2016 December 22	Jo-Jo Eumerus	2017-05-07T12:02:15Z
54	ETH-BIB-Konstanz,_Hafen_v._S._aus_300_m-Inlandflüge-LBS_MH01-001880.tif	Commons:WikiProject Aviation/recent uploads/2016 December 15/Overflow 1	Sémhur	2017-02-23T17:29:48Z
55	ETH-BIB-Frauenfeld,_Stadtkirche_aus_400_m-Inlandflüge-LBS_MH01-000633.tif	Commons:WikiProject Aviation/recent uploads/2016 December 15	Jasonanaggie	2017-01-08T14:15:24Z
56	ETH-BIB-Arbon,_Schloss_Arbon_mit_Kirche,_Bodensee_aus_30_m-Inlandflüge-LBS_MH01-002320.tif	Commons:WikiProject Aviation/recent uploads/2016 December 22	Jo-Jo Eumerus	2017-05-07T12:02:15Z
57	ETH-BIB-Frauenfeld_v._S._W._aus_300_m-Inlandflüge-LBS_MH01-002607.tif	Commons:WikiProject Aviation/recent uploads/2016 December 22	Jo-Jo Eumerus	2017-05-07T12:02:15Z
58	ETH-BIB-Frauenfeld_v._S._aus_200_m-Inlandflüge-LBS_MH01-002606.tif	Commons:WikiProject Aviation/recent uploads/2016 December 22	Jo-Jo Eumerus	2017-05-07T12:02:15Z
59	ETH-BIB-Horn_mit_Bad_aus_100_m-Inlandflüge-LBS_MH01-002684.tif	Commons:WikiProject Aviation/recent uploads/2016 December 22	Jo-Jo Eumerus	2017-05-07T12:02:15Z
60	ETH-BIB-Wängi_bei_Matzingen_v._S._W._aus_200_m-Inlandflüge-LBS_MH01-002431.tif	Commons:WikiProject Aviation/recent uploads/2016 December 22	Jo-Jo Eumerus	2017-05-07T12:02:15Z
61	ETH-BIB-Fischingen_aus_500_m-Inlandflüge-LBS_MH01-002678.tif	Commons:WikiProject Aviation/recent uploads/2016 December 22	Jo-Jo Eumerus	2017-05-07T12:02:15Z
62	ETH-BIB-Horn,_Bahnhof_aus_100_m-Inlandflüge-LBS_MH01-002685.tif	Commons:WikiProject Aviation/recent uploads/2016 December 22	Jo-Jo Eumerus	2017-05-07T12:02:15Z
63	ETH-BIB-Wängi_bei_Matzigen_aus_200_m-Inlandflüge-LBS_MH01-002633.tif	Commons:WikiProject Aviation/recent uploads/2016 December 22	Jo-Jo Eumerus	2017-05-07T12:02:15Z
64	ETH-BIB-Matzingen_aus_200_m-Inlandflüge-LBS_MH01-002671.tif	Commons:WikiProject Aviation/recent uploads/2016 December 22	Jo-Jo Eumerus	2017-05-07T12:02:15Z
65	ETH-BIB-Wettingen_aus_100_m-Inlandflüge-LBS_MH01-002217.tif	Commons:WikiProject Aviation/recent uploads/2016 December 22	Jo-Jo Eumerus	2017-05-07T12:02:15Z
66	ETH-BIB-Konstanz,_Rheineinmündung_aus_300_m-Inlandflüge-LBS_MH01-002696.tif	Commons:WikiProject Aviation/recent uploads/2016 December 22	Jo-Jo Eumerus	2017-05-07T12:02:15Z
67	ETH-BIB-Beinwil_am_See,_Hallwilersee-Inlandflüge-LBS_MH01-002640.tif	Commons:WikiProject Aviation/recent uploads/2016 December 22	Jo-Jo Eumerus	2017-05-07T12:02:15Z
68	ETH-BIB-Dussnang,_Oberwangen_aus_800_m-Inlandflüge-LBS_MH01-002677.tif	Commons:WikiProject Aviation/recent uploads/2016 December 22	Jo-Jo Eumerus	2017-05-07T12:02:15Z
69	ETH-BIB-Horn_aus_100_m-Inlandflüge-LBS_MH01-002338.tif	Commons:WikiProject Aviation/recent uploads/2016 December 22	Jo-Jo Eumerus	2017-05-07T12:02:15Z
70	ETH-BIB-Alkenfjell_(Ostküste_Neufriesland)_Hinlopenstrasse_-_Nordostland_von_Westen_aus_2000_m_Höhe-Spitzbergenflug_1923-LBS_MH02-01-0018-A.tif	User:DrTrigon/logs/eth-bib	DrTrigon	2016-08-05T01:39:38Z
71	ETH-BIB-Alkhorn_mit_Ymerhafen_und_Nordfjord_von_Süd-Westen_aus_600_m_Höhe-Spitzbergenflug_1923-LBS_MH02-01-0044.tif	User:DrTrigon/logs/eth-bib	DrTrigon	2016-08-05T01:39:38Z
72	ETH-BIB-Alkhorn_mit_Ymerhafen_und_Nordfjord_von_Süd-Westen_aus_600_m_Höhe-Spitzbergenflug_1923-LBS_MH02-01-0044.tif	Category:Media contributed by the ETH-Bibliothek/Reports/most edited	Faebot	2016-12-14T05:37:20Z
